TUBERCULOSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - São Paulo
Casos confirmados por Município de notificação e Ano Notificação
HIV: Positivo
Período:2023-2024
"Município de notificação";"2023";"2024";"2025";"Total"
"351310 CRAVINHOS";1;1;-;2
"351340 CRUZEIRO";5;2;-;7
"351350 CUBATAO";12;11;1;24
"351380 DIADEMA";11;14;-;25
"351385 DIRCE REIS";-;1;-;1
"351480 ELDORADO";1;-;-;1
"351500 EMBU DAS ARTES";10;16;3;29
"351510 EMBU-GUACU";3;3;-;6
"351518 ESPIRITO SANTO DO PINHAL";-;1;-;1
"351550 FERNANDOPOLIS";2;-;-;2
"351570 FERRAZ DE VASCONCELOS";11;5;-;16
"351600 FLORIDA PAULISTA";1;1;-;2
"351610 FLORINIA";2;4;-;6
"351620 FRANCA";10;7;-;17
"351630 FRANCISCO MORATO";11;10;2;23
"351640 FRANCO DA ROCHA";11;15;-;26
"351660 GALIA";2;3;-;5
"351670 GARCA";2;1;-;3
"351740 GUAIRA";-;2;2;4
"351750 GUAPIACU";3;-;-;3
"351770 GUARA";-;1;-;1
"351780 GUARACAI";-;1;-;1
"351810 GUARANTA";1;-;-;1
"351830 GUARAREMA";-;1;-;1
"351840 GUARATINGUETA";3;8;-;11
"351850 GUAREI";-;2;-;2
"351870 GUARUJA";28;28;-;56
"351880 GUARULHOS";46;75;5;126
"351907 HORTOLANDIA";3;11;1;15
"351930 IBATE";2;-;-;2
"351950 IBIRAREMA";-;1;-;1
"351960 IBITINGA";1;1;-;2
"351970 IBIUNA";2;2;-;4
"351980 ICEM";1;1;-;2
"352020 IGARATA";-;1;-;1
"352030 IGUAPE";6;2;-;8
"352040 ILHABELA";1;4;1;6
"352042 ILHA COMPRIDA";1;9;-;10
"352050 INDAIATUBA";5;8;-;13
"352090 IPAUSSU";-;1;-;1
"352100 IPERO";4;1;-;5
"352130 IPUA";2;-;-;2
"352140 IRACEMAPOLIS";-;1;-;1
"352160 IRAPURU";-;1;-;1
"352180 ITAI";2;2;-;4
"352210 ITANHAEM";9;11;1;21
"352215 ITAOCA";-;1;-;1
"352220 ITAPECERICA DA SERRA";10;12;1;23
"352230 ITAPETININGA";4;4;-;8
"352240 ITAPEVA";2;2;-;4
"352250 ITAPEVI";18;20;3;41
"352260 ITAPIRA";2;2;-;4
"352270 ITAPOLIS";1;1;-;2
"352280 ITAPORANGA";2;-;-;2
"352290 ITAPUI";-;1;-;1
"352310 ITAQUAQUECETUBA";14;15;-;29
"352330 ITARIRI";-;1;1;2
"352340 ITATIBA";1;5;1;7
"352350 ITATINGA";3;1;-;4
"352360 ITIRAPINA";2;2;-;4
"352390 ITU";2;4;-;6
"352400 ITUPEVA";2;5;-;7
"352410 ITUVERAVA";-;2;-;2
"352420 JABORANDI";1;-;-;1
"352430 JABOTICABAL";3;2;-;5
"352440 JACAREI";7;10;-;17
"352450 JACI";-;1;-;1
"352460 JACUPIRANGA";4;-;-;4
"352470 JAGUARIUNA";1;2;-;3
"352480 JALES";1;1;-;2
"352490 JAMBEIRO";-;1;-;1
"352500 JANDIRA";5;7;-;12
"352510 JARDINOPOLIS";4;2;-;6
"352520 JARINU";1;-;-;1
"352530 JAU";3;6;-;9
"352570 JOSE BONIFACIO";1;-;-;1
"352590 JUNDIAI";11;17;1;29
"352620 JUQUITIBA";4;4;-;8
"352640 LARANJAL PAULISTA";1;-;-;1
"352650 LAVINIA";1;-;-;1
"352670 LEME";-;1;-;1
"352680 LENCOIS PAULISTA";-;2;-;2
"352690 LIMEIRA";6;10;-;16
"352710 LINS";2;8;-;10
"352720 LORENA";7;2;-;9
"352780 LUPERCIO";-;1;-;1
"352840 MAIRINQUE";3;2;-;5
"352850 MAIRIPORA";-;5;-;5
"352860 MANDURI";-;1;-;1
"352870 MARABA PAULISTA";1;-;-;1
"352900 MARILIA";4;16;1;21
"352920 MARTINOPOLIS";1;-;-;1
"352930 MATAO";1;-;-;1
"352940 MAUA";14;15;2;31
"352980 MINEIROS DO TIETE";1;-;-;1
"352990 MIRACATU";2;-;-;2
"353010 MIRANDOPOLIS";2;1;1;4
"353030 MIRASSOL";1;-;-;1
"353040 MIRASSOLANDIA";1;-;-;1
"353050 MOCOCA";1;1;-;2
"353060 MOGI DAS CRUZES";9;11;1;21
"353070 MOGI GUACU";7;1;-;8
"353080 MOGI MIRIM";1;1;-;2
"353090 MOMBUCA";1;-;-;1
"353110 MONGAGUA";6;3;-;9
"353130 MONTE ALTO";1;2;-;3
"353150 MONTE AZUL PAULISTA";1;-;-;1
"353180 MONTE MOR";-;3;-;3
"353190 MORRO AGUDO";-;2;-;2
"353250 NEVES PAULISTA";-;1;-;1
"353260 NHANDEARA";-;2;-;2
"353340 NOVA ODESSA";-;4;-;4
"353370 OCAUCU";-;2;-;2
"353410 ORIENTE";-;1;-;1
"353440 OSASCO";28;24;1;53
"353460 OSVALDO CRUZ";2;-;-;2
"353470 OURINHOS";1;4;-;5
"353490 PACAEMBU";2;-;-;2
"353510 PALMARES PAULISTA";1;-;-;1
"353550 PARAGUACU PAULISTA";-;4;-;4
"353580 PARANAPANEMA";-;1;-;1
"353600 PARAPUA";1;-;-;1
"353620 PARIQUERA-ACU";1;6;-;7
"353650 PAULINIA";1;1;-;2
"353660 PAULO DE FARIA";-;1;-;1
"353670 PEDERNEIRAS";1;-;-;1
"353720 PEDRO DE TOLEDO";5;-;-;5
"353730 PENAPOLIS";-;1;-;1
"353760 PERUIBE";10;6;1;17
"353770 PIACATU";-;1;-;1
"353780 PIEDADE";1;-;-;1
"353790 PILAR DO SUL";1;1;-;2
"353800 PINDAMONHANGABA";3;4;-;7
"353820 PINHALZINHO";-;1;-;1
"353860 PIRACAIA";1;-;-;1
"353870 PIRACICABA";13;11;1;25
"353880 PIRAJU";-;2;-;2
"353890 PIRAJUI";1;-;-;1
"353930 PIRASSUNUNGA";-;2;-;2
"353940 PIRATININGA";-;1;-;1
"353950 PITANGUEIRAS";2;-;-;2
"353980 POA";4;5;-;9
"354000 POMPEIA";1;-;-;1
"354020 PONTAL";2;-;-;2
"354060 PORTO FELIZ";2;2;-;4
"354070 PORTO FERREIRA";-;2;-;2
"354075 POTIM";3;2;-;5
"354085 PRACINHA";-;1;-;1
"354090 PRADOPOLIS";1;-;-;1
"354100 PRAIA GRANDE";37;34;-;71
"354110 PRESIDENTE ALVES";1;-;-;1
"354120 PRESIDENTE BERNARDES";-;1;-;1
"354130 PRESIDENTE EPITACIO";4;1;-;5
"354140 PRESIDENTE PRUDENTE";8;8;-;16
"354150 PRESIDENTE VENCESLAU";2;1;-;3
"354200 QUINTANA";1;-;-;1
"354220 RANCHARIA";1;2;-;3
"354250 REGINOPOLIS";1;1;-;2
"354260 REGISTRO";7;3;-;10
"354290 RIBEIRAO BONITO";-;-;1;1
"354300 RIBEIRAO BRANCO";-;1;-;1
"354330 RIBEIRAO PIRES";4;2;-;6
"354340 RIBEIRAO PRETO";33;54;4;91
"354350 RIVERSUL";1;-;-;1
"354390 RIO CLARO";1;10;-;11
"354410 RIO GRANDE DA SERRA";1;-;-;1
"354420 RIOLANDIA";-;1;-;1
"354425 ROSANA";1;1;-;2
"354460 SABINO";-;1;-;1
"354500 SALESOPOLIS";-;1;-;1
"354510 SALMOURAO";1;-;-;1
"354515 SALTINHO";1;-;-;1
"354520 SALTO";3;5;-;8
"354530 SALTO DE PIRAPORA";1;-;-;1
"354560 SANTA ADELIA";1;-;-;1
"354580 SANTA BARBARA D'OESTE";3;4;-;7
"354600 SANTA BRANCA";1;-;-;1
"354610 SANTA CLARA D'OESTE";1;-;-;1
"354630 SANTA CRUZ DAS PALMEIRAS";-;3;-;3
"354640 SANTA CRUZ DO RIO PARDO";-;3;-;3
"354660 SANTA FE DO SUL";-;1;-;1
"354680 SANTA ISABEL";1;2;-;3
"354730 SANTANA DE PARNAIBA";1;1;-;2
"354760 SANTA ROSA DE VITERBO";1;1;-;2
"354780 SANTO ANDRE";18;36;1;55
"354800 SANTO ANTONIO DE POSSE";-;1;-;1
"354810 SANTO ANTONIO DO JARDIM";1;-;-;1
"354850 SANTOS";48;45;2;95
"354870 SAO BERNARDO DO CAMPO";32;36;1;69
"354880 SAO CAETANO DO SUL";2;-;-;2
"354890 SAO CARLOS";10;11;-;21
"354910 SAO JOAO DA BOA VISTA";9;6;-;15
"354940 SAO JOAQUIM DA BARRA";2;2;-;4
"354970 SAO JOSE DO RIO PARDO";-;1;-;1
"354980 SAO JOSE DO RIO PRETO";29;32;3;64
"354990 SAO JOSE DOS CAMPOS";26;18;2;46
"354995 SAO LOURENCO DA SERRA";-;2;-;2
"355000 SAO LUIS DO PARAITINGA";1;-;-;1
"355010 SAO MANUEL";-;2;-;2
"355030 SAO PAULO";974;1366;118;2458
"355040 SAO PEDRO";1;1;-;2
"355070 SAO SEBASTIAO";5;13;-;18
"355100 SAO VICENTE";28;55;-;83
"355120 SARUTAIA";-;1;-;1
"355140 SERRA AZUL";2;1;-;3
"355150 SERRANA";2;3;-;5
"355170 SERTAOZINHO";1;3;-;4
"355180 SETE BARRAS";1;-;-;1
"355190 SEVERINIA";1;-;-;1
"355200 SILVEIRAS";1;-;-;1
"355210 SOCORRO";1;-;-;1
"355220 SOROCABA";58;62;1;121
"355240 SUMARE";8;6;1;15
"355250 SUZANO";2;5;-;7
"355260 TABAPUA";1;-;-;1
"355270 TABATINGA";1;-;-;1
"355280 TABOAO DA SERRA";16;19;3;38
"355290 TACIBA";-;1;-;1
"355320 TAIUVA";1;2;-;3
"355340 TANABI";1;-;-;1
"355370 TAQUARITINGA";9;-;-;9
"355390 TARABAI";1;-;-;1
"355400 TATUI";3;4;-;7
"355410 TAUBATE";10;11;3;24
"355480 TREMEMBE";1;5;-;6
"355500 TUPA";2;1;-;3
"355510 TUPI PAULISTA";1;1;-;2
"355540 UBATUBA";9;8;-;17
"355560 UCHOA";-;2;-;2
"355610 VALENTIM GENTIL";1;-;-;1
"355620 VALINHOS";3;2;-;5
"355630 VALPARAISO";1;1;-;2
"355640 VARGEM GRANDE DO SUL";-;1;-;1
"355645 VARGEM GRANDE PAULISTA";2;-;-;2
"355650 VARZEA PAULISTA";3;3;-;6
"355670 VINHEDO";1;2;-;3
"355680 VIRADOURO";-;1;-;1
"355700 VOTORANTIM";4;6;1;11
"355710 VOTUPORANGA";4;2;-;6
"Total";2191;2828;191;5210
 Fonte: Ministério da Saúde/SVSA - Sistema de Informação de Agravos de Notificação - Sinan Net 
 Notas:
 
 Excluídos os registros encerrados com mudança de diagnóstico.
 Períodos disponíveis - Correspondem aos anos de diagnóstico dos casos (até 2024).
 Para tabular dados epidemiológicos de um determinado ano selecione na linha a variável de interesse,
		e todos os posteriores até o ano atual (para incluir casos notificados com atraso) e em "Seleções Disponíveis"
		assinale os anos do diagnóstico: - Ex. para tabular o nº de casos diagnosticados em 2007 segundo UF de residência
		selecione: na linha a "UF de residência" na Coluna a variável "Ano do diagnóstico" em Períodos disponíveis 2007
		até o ano atual em Seleções o "Ano do diagnóstico" de 2007.
 Para cálculo da incidência selecione o local de residência e as seguintes categorias da variável "Tipo de entrada":
		caso novo, não sabe e pós óbito.
 A variável "Beneficiário de programa de transferência de renda do governo" não contém dados do Estado de São Paulo (SP).
		Quanto a variável "Terapia antirretroviral durante o tratamento da TB", os dados do estado de SP foram inseridos
		a partir do segundo semestre de 2016.
 Não é possível calcular indicadores relacionados aos contatos de tuberculose.
 Em 2014, foram incluídas as seguintes variáveis no Sinan Net (Tuberculose): populações especiais (população privada de
		liberdade, população em situação de rua, profissional de saúde e imigrante), doenças e agravos associados (uso de drogas
		ilícitas e tabagismo), beneficiário de programa de transferência de renda do governo, terapia antirretroviral durante o
		tratamento para a TB, teste molecular rápido TB (TRM-TB) e teste de sensibilidade; as categorias: pós-óbito na variável
		tipo de entrada; e as categorias: mudança de esquema, falência e abandono primário na variável situação de encerramento.
		Por conta disso, não há informações para essas variáveis em anos anteriores.
 A variável "institucionalizado" foi descontinuada em 2015. Portanto, para análise referente à população privada de
		liberdade após esse período, utilizar a variável "PPL" (população privada de liberdade).
 Para informações detalhadas sobre o Sinan – Tuberculose e sobre as análises de indicadores epidemiológicos e operacionais
		da tuberculose, acessar o link: http://portalsinan.saude.gov.br/tuberculose
 Em caso de dúvidas, encaminhar e-mail para: tuberculose@saude.gov.br
 Dados de 2001 a 2019 estão finalizados.
 Dados de 2019 passaram por correção em setembro/2025.
 Dados de 2020 a 2024 atualizados em setembro/2025, sujeitos à revisão.
 Dados a partir de 2020 referentes ao estado do Espírito Santo são oriundos do Sistema de Informação e-SUS VS, em uso pelo
		estado desde janeiro de 2020.
 Dados referentes ao estado de São Paulo são oriundos do Sistema de Controle de Pacientes com Tuberculose TBWEB.
 Dados disponibilizados no TABNET em 10/2025, após homologação da Coordenação Geral de Vigilância da Tuberculose, Micoses
		Endêmicas e Micobactérias não Tuberculosas /CGTM/SVSA
 
