TUBERCULOSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - São Paulo
Casos confirmados por Município de notificação e Ano Notificação
Sexo: Feminino
Período:2023-2024
"Município de notificação";"2023";"2024";"2025";"Total"
"353720 PEDRO DE TOLEDO";6;1;-;7
"353730 PENAPOLIS";1;4;-;5
"353740 PEREIRA BARRETO";2;2;-;4
"353750 PEREIRAS";-;2;-;2
"353760 PERUIBE";31;21;-;52
"353780 PIEDADE";2;3;-;5
"353790 PILAR DO SUL";4;6;-;10
"353800 PINDAMONHANGABA";18;16;5;39
"353810 PINDORAMA";-;1;-;1
"353820 PINHALZINHO";1;-;-;1
"353850 PIQUETE";-;1;-;1
"353860 PIRACAIA";1;1;-;2
"353870 PIRACICABA";41;50;1;92
"353880 PIRAJU";3;6;-;9
"353890 PIRAJUI";1;1;-;2
"353910 PIRAPORA DO BOM JESUS";6;8;-;14
"353920 PIRAPOZINHO";2;2;-;4
"353930 PIRASSUNUNGA";6;3;-;9
"353940 PIRATININGA";-;1;-;1
"353950 PITANGUEIRAS";2;3;-;5
"353980 POA";14;14;-;28
"354000 POMPEIA";1;-;-;1
"354020 PONTAL";5;9;-;14
"354050 PORANGABA";1;1;-;2
"354060 PORTO FELIZ";3;7;-;10
"354070 PORTO FERREIRA";2;-;-;2
"354075 POTIM";2;-;1;3
"354080 POTIRENDABA";1;1;-;2
"354085 PRACINHA";-;1;-;1
"354090 PRADOPOLIS";-;2;-;2
"354100 PRAIA GRANDE";115;135;5;255
"354120 PRESIDENTE BERNARDES";1;1;-;2
"354130 PRESIDENTE EPITACIO";4;2;-;6
"354140 PRESIDENTE PRUDENTE";14;20;-;34
"354150 PRESIDENTE VENCESLAU";2;1;-;3
"354170 QUATA";-;1;-;1
"354190 QUELUZ";2;-;-;2
"354200 QUINTANA";1;1;-;2
"354210 RAFARD";-;1;-;1
"354220 RANCHARIA";-;1;-;1
"354240 REGENTE FEIJO";1;-;-;1
"354260 REGISTRO";14;10;1;25
"354280 RIBEIRA";-;2;-;2
"354300 RIBEIRAO BRANCO";2;2;-;4
"354330 RIBEIRAO PIRES";11;12;-;23
"354340 RIBEIRAO PRETO";64;86;6;156
"354350 RIVERSUL";1;1;-;2
"354380 RINOPOLIS";-;1;-;1
"354390 RIO CLARO";18;25;1;44
"354400 RIO DAS PEDRAS";3;5;-;8
"354410 RIO GRANDE DA SERRA";2;4;-;6
"354420 RIOLANDIA";1;1;-;2
"354425 ROSANA";4;-;-;4
"354430 ROSEIRA";1;1;-;2
"354450 RUBINEIA";1;-;-;1
"354490 SALES OLIVEIRA";1;-;-;1
"354500 SALESOPOLIS";-;1;-;1
"354510 SALMOURAO";-;1;-;1
"354515 SALTINHO";1;-;-;1
"354520 SALTO";13;16;1;30
"354530 SALTO DE PIRAPORA";6;2;-;8
"354540 SALTO GRANDE";2;3;-;5
"354570 SANTA ALBERTINA";1;-;-;1
"354580 SANTA BARBARA D'OESTE";14;7;-;21
"354600 SANTA BRANCA";3;2;-;5
"354630 SANTA CRUZ DAS PALMEIRAS";3;2;-;5
"354640 SANTA CRUZ DO RIO PARDO";7;5;-;12
"354650 SANTA ERNESTINA";-;1;-;1
"354660 SANTA FE DO SUL";-;2;-;2
"354670 SANTA GERTRUDES";2;1;-;3
"354680 SANTA ISABEL";10;11;-;21
"354730 SANTANA DE PARNAIBA";13;22;-;35
"354740 SANTA RITA D'OESTE";2;-;-;2
"354750 SANTA RITA DO PASSA QUATRO";3;1;-;4
"354760 SANTA ROSA DE VITERBO";1;1;-;2
"354770 SANTO ANASTACIO";3;1;-;4
"354780 SANTO ANDRE";69;72;2;143
"354790 SANTO ANTONIO DA ALEGRIA";-;1;-;1
"354800 SANTO ANTONIO DE POSSE";1;-;-;1
"354850 SANTOS";151;145;7;303
"354860 SAO BENTO DO SAPUCAI";3;-;-;3
"354870 SAO BERNARDO DO CAMPO";101;121;2;224
"354880 SAO CAETANO DO SUL";17;14;1;32
"354890 SAO CARLOS";18;30;-;48
"354910 SAO JOAO DA BOA VISTA";4;11;-;15
"354925 SAO JOAO DE IRACEMA";1;-;-;1
"354940 SAO JOAQUIM DA BARRA";3;5;-;8
"354960 SAO JOSE DO BARREIRO";-;1;-;1
"354970 SAO JOSE DO RIO PARDO";2;7;-;9
"354980 SAO JOSE DO RIO PRETO";42;61;3;106
"354990 SAO JOSE DOS CAMPOS";57;56;2;115
"354995 SAO LOURENCO DA SERRA";1;3;-;4
"355000 SAO LUIS DO PARAITINGA";-;2;-;2
"355010 SAO MANUEL";6;4;-;10
"355020 SAO MIGUEL ARCANJO";5;3;-;8
"355030 SAO PAULO";2713;2905;149;5767
"355040 SAO PEDRO";4;5;-;9
"355050 SAO PEDRO DO TURVO";-;2;-;2
"355060 SAO ROQUE";7;7;-;14
"355070 SAO SEBASTIAO";17;21;-;38
"355080 SAO SEBASTIAO DA GRAMA";-;2;-;2
"355100 SAO VICENTE";143;127;4;274
"355110 SARAPUI";-;4;-;4
"355140 SERRA AZUL";1;4;-;5
"355150 SERRANA";2;6;1;9
"355160 SERRA NEGRA";-;1;-;1
"355170 SERTAOZINHO";5;8;-;13
"355180 SETE BARRAS";1;3;-;4
"355200 SILVEIRAS";2;-;-;2
"355210 SOCORRO";2;-;-;2
"355220 SOROCABA";98;94;-;192
"355240 SUMARE";28;32;1;61
"355250 SUZANO";42;44;1;87
"355270 TABATINGA";1;1;-;2
"355280 TABOAO DA SERRA";39;57;4;100
"355310 TAIACU";-;1;-;1
"355320 TAIUVA";1;-;-;1
"355330 TAMBAU";1;2;-;3
"355340 TANABI";1;2;-;3
"355350 TAPIRAI";1;1;-;2
"355360 TAPIRATIBA";-;1;-;1
"355370 TAQUARITINGA";7;2;-;9
"355380 TAQUARITUBA";2;2;-;4
"355390 TARABAI";1;1;-;2
"355395 TARUMA";-;2;-;2
"355400 TATUI";11;19;-;30
"355410 TAUBATE";30;38;1;69
"355420 TEJUPA";1;-;-;1
"355430 TEODORO SAMPAIO";1;-;-;1
"355450 TIETE";3;-;-;3
"355460 TIMBURI";-;1;-;1
"355470 TORRINHA";1;-;-;1
"355480 TREMEMBE";11;5;2;18
"355490 TRES FRONTEIRAS";1;-;-;1
"355495 TUIUTI";1;-;-;1
"355500 TUPA";2;6;-;8
"355510 TUPI PAULISTA";2;3;-;5
"355540 UBATUBA";26;29;-;55
"355560 UCHOA";-;1;-;1
"355610 VALENTIM GENTIL";1;-;-;1
"355620 VALINHOS";3;6;-;9
"355630 VALPARAISO";2;2;-;4
"355635 VARGEM";2;1;-;3
"355640 VARGEM GRANDE DO SUL";-;1;-;1
"355645 VARGEM GRANDE PAULISTA";7;16;2;25
"355650 VARZEA PAULISTA";13;10;-;23
"355660 VERA CRUZ";-;2;-;2
"355670 VINHEDO";4;7;1;12
"355680 VIRADOURO";2;1;-;3
"355700 VOTORANTIM";19;23;1;43
"355710 VOTUPORANGA";6;16;-;22
"355720 CHAVANTES";-;1;-;1
"355730 ESTIVA GERBI";-;1;-;1
"Total";6666;7361;301;14328
 Fonte: Ministério da Saúde/SVSA - Sistema de Informação de Agravos de Notificação - Sinan Net 
 Notas:
 
 Excluídos os registros encerrados com mudança de diagnóstico.
 Períodos disponíveis - Correspondem aos anos de diagnóstico dos casos (até 2024).
 Para tabular dados epidemiológicos de um determinado ano selecione na linha a variável de interesse,
		e todos os posteriores até o ano atual (para incluir casos notificados com atraso) e em "Seleções Disponíveis"
		assinale os anos do diagnóstico: - Ex. para tabular o nº de casos diagnosticados em 2007 segundo UF de residência
		selecione: na linha a "UF de residência" na Coluna a variável "Ano do diagnóstico" em Períodos disponíveis 2007
		até o ano atual em Seleções o "Ano do diagnóstico" de 2007.
 Para cálculo da incidência selecione o local de residência e as seguintes categorias da variável "Tipo de entrada":
		caso novo, não sabe e pós óbito.
 A variável "Beneficiário de programa de transferência de renda do governo" não contém dados do Estado de São Paulo (SP).
		Quanto a variável "Terapia antirretroviral durante o tratamento da TB", os dados do estado de SP foram inseridos
		a partir do segundo semestre de 2016.
 Não é possível calcular indicadores relacionados aos contatos de tuberculose.
 Em 2014, foram incluídas as seguintes variáveis no Sinan Net (Tuberculose): populações especiais (população privada de
		liberdade, população em situação de rua, profissional de saúde e imigrante), doenças e agravos associados (uso de drogas
		ilícitas e tabagismo), beneficiário de programa de transferência de renda do governo, terapia antirretroviral durante o
		tratamento para a TB, teste molecular rápido TB (TRM-TB) e teste de sensibilidade; as categorias: pós-óbito na variável
		tipo de entrada; e as categorias: mudança de esquema, falência e abandono primário na variável situação de encerramento.
		Por conta disso, não há informações para essas variáveis em anos anteriores.
 A variável "institucionalizado" foi descontinuada em 2015. Portanto, para análise referente à população privada de
		liberdade após esse período, utilizar a variável "PPL" (população privada de liberdade).
 Para informações detalhadas sobre o Sinan – Tuberculose e sobre as análises de indicadores epidemiológicos e operacionais
		da tuberculose, acessar o link: http://portalsinan.saude.gov.br/tuberculose
 Em caso de dúvidas, encaminhar e-mail para: tuberculose@saude.gov.br
 Dados de 2001 a 2019 estão finalizados.
 Dados de 2019 passaram por correção em setembro/2025.
 Dados de 2020 a 2024 atualizados em setembro/2025, sujeitos à revisão.
 Dados a partir de 2020 referentes ao estado do Espírito Santo são oriundos do Sistema de Informação e-SUS VS, em uso pelo
		estado desde janeiro de 2020.
 Dados referentes ao estado de São Paulo são oriundos do Sistema de Controle de Pacientes com Tuberculose TBWEB.
 Dados disponibilizados no TABNET em 10/2025, após homologação da Coordenação Geral de Vigilância da Tuberculose, Micoses
		Endêmicas e Micobactérias não Tuberculosas /CGTM/SVSA
 
