TUBERCULOSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - São Paulo
Casos confirmados por Município de notificação e Ano Notificação
Sexo: Masculino
Período:2023-2024
"Município de notificação";"2023";"2024";"2025";"Total"
"353260 NHANDEARA";1;4;-;5
"353280 NOVA ALIANCA";2;1;-;3
"353282 NOVA CAMPINA";1;1;-;2
"353290 NOVA EUROPA";-;1;-;1
"353300 NOVA GRANADA";2;2;-;4
"353320 NOVA INDEPENDENCIA";11;13;-;24
"353325 NOVAIS";1;1;-;2
"353330 NOVA LUZITANIA";1;-;-;1
"353340 NOVA ODESSA";9;10;-;19
"353350 NOVO HORIZONTE";7;4;-;11
"353370 OCAUCU";-;4;-;4
"353390 OLIMPIA";8;5;-;13
"353400 ONDA VERDE";1;-;-;1
"353410 ORIENTE";3;-;-;3
"353420 ORINDIUVA";-;2;-;2
"353430 ORLANDIA";4;8;1;13
"353440 OSASCO";218;228;6;452
"353460 OSVALDO CRUZ";7;14;-;21
"353470 OURINHOS";15;28;1;44
"353475 OUROESTE";2;4;-;6
"353490 PACAEMBU";47;62;-;109
"353500 PALESTINA";2;1;-;3
"353510 PALMARES PAULISTA";2;-;-;2
"353520 PALMEIRA D'OESTE";-;1;-;1
"353530 PALMITAL";4;10;-;14
"353540 PANORAMA";2;1;-;3
"353550 PARAGUACU PAULISTA";6;14;-;20
"353560 PARAIBUNA";5;2;-;7
"353580 PARANAPANEMA";2;2;-;4
"353590 PARANAPUA";2;-;-;2
"353600 PARAPUA";4;3;-;7
"353610 PARDINHO";1;2;-;3
"353620 PARIQUERA-ACU";10;12;-;22
"353625 PARISI";1;1;-;2
"353640 PAULICEIA";2;2;1;5
"353650 PAULINIA";31;29;2;62
"353660 PAULO DE FARIA";2;8;-;10
"353670 PEDERNEIRAS";8;14;-;22
"353680 PEDRA BELA";1;2;-;3
"353690 PEDRANOPOLIS";1;-;-;1
"353710 PEDREIRA";5;7;-;12
"353720 PEDRO DE TOLEDO";3;8;-;11
"353730 PENAPOLIS";7;12;-;19
"353740 PEREIRA BARRETO";3;5;-;8
"353750 PEREIRAS";1;-;-;1
"353760 PERUIBE";80;53;1;134
"353770 PIACATU";-;1;-;1
"353780 PIEDADE";6;3;1;10
"353790 PILAR DO SUL";10;5;-;15
"353800 PINDAMONHANGABA";37;34;5;76
"353810 PINDORAMA";2;-;-;2
"353820 PINHALZINHO";1;2;-;3
"353830 PIQUEROBI";-;1;-;1
"353850 PIQUETE";5;1;-;6
"353860 PIRACAIA";5;2;-;7
"353870 PIRACICABA";129;135;2;266
"353880 PIRAJU";1;6;-;7
"353890 PIRAJUI";34;41;-;75
"353900 PIRANGI";2;2;-;4
"353910 PIRAPORA DO BOM JESUS";6;13;1;20
"353920 PIRAPOZINHO";4;5;-;9
"353930 PIRASSUNUNGA";10;19;-;29
"353940 PIRATININGA";2;2;-;4
"353950 PITANGUEIRAS";7;8;1;16
"353960 PLANALTO";-;1;-;1
"353970 PLATINA";3;1;-;4
"353980 POA";43;42;-;85
"354000 POMPEIA";2;2;-;4
"354010 PONGAI";3;-;-;3
"354020 PONTAL";21;15;-;36
"354025 PONTALINDA";2;2;-;4
"354030 PONTES GESTAL";1;-;-;1
"354050 PORANGABA";1;1;-;2
"354060 PORTO FELIZ";25;33;-;58
"354070 PORTO FERREIRA";7;8;-;15
"354075 POTIM";39;33;1;73
"354085 PRACINHA";8;10;-;18
"354090 PRADOPOLIS";2;-;-;2
"354100 PRAIA GRANDE";298;322;9;629
"354105 PRATANIA";-;1;-;1
"354110 PRESIDENTE ALVES";1;2;-;3
"354120 PRESIDENTE BERNARDES";26;34;-;60
"354130 PRESIDENTE EPITACIO";16;8;-;24
"354140 PRESIDENTE PRUDENTE";81;65;-;146
"354150 PRESIDENTE VENCESLAU";10;12;-;22
"354160 PROMISSAO";6;7;-;13
"354165 QUADRA";2;-;-;2
"354170 QUATA";1;1;-;2
"354190 QUELUZ";2;3;-;5
"354200 QUINTANA";4;1;-;5
"354210 RAFARD";4;2;-;6
"354220 RANCHARIA";13;8;-;21
"354230 REDENCAO DA SERRA";-;1;-;1
"354240 REGENTE FEIJO";3;1;-;4
"354250 REGINOPOLIS";25;26;-;51
"354260 REGISTRO";61;67;3;131
"354280 RIBEIRA";-;3;-;3
"354290 RIBEIRAO BONITO";2;3;1;6
"354300 RIBEIRAO BRANCO";3;4;-;7
"354320 RIBEIRAO DO SUL";1;-;-;1
"354323 RIBEIRAO DOS INDIOS";1;-;-;1
"354325 RIBEIRAO GRANDE";-;2;-;2
"354330 RIBEIRAO PIRES";15;21;-;36
"354340 RIBEIRAO PRETO";224;241;15;480
"354350 RIVERSUL";2;5;1;8
"354370 RINCAO";3;-;-;3
"354380 RINOPOLIS";4;-;-;4
"354390 RIO CLARO";40;47;1;88
"354400 RIO DAS PEDRAS";8;6;-;14
"354410 RIO GRANDE DA SERRA";10;5;-;15
"354420 RIOLANDIA";15;22;-;37
"354425 ROSANA";3;4;-;7
"354430 ROSEIRA";1;-;-;1
"354450 RUBINEIA";1;-;-;1
"354460 SABINO";-;2;-;2
"354470 SAGRES";2;-;-;2
"354490 SALES OLIVEIRA";1;-;-;1
"354500 SALESOPOLIS";4;2;-;6
"354510 SALMOURAO";1;-;-;1
"354515 SALTINHO";1;-;-;1
"354520 SALTO";31;38;1;70
"354530 SALTO DE PIRAPORA";13;12;-;25
"354540 SALTO GRANDE";5;6;-;11
"354550 SANDOVALINA";-;1;-;1
"354560 SANTA ADELIA";2;3;-;5
"354570 SANTA ALBERTINA";1;-;-;1
"354580 SANTA BARBARA D'OESTE";31;30;-;61
"354600 SANTA BRANCA";-;6;-;6
"354610 SANTA CLARA D'OESTE";1;1;-;2
"354620 SANTA CRUZ DA CONCEICAO";1;-;-;1
"354630 SANTA CRUZ DAS PALMEIRAS";2;7;-;9
"354640 SANTA CRUZ DO RIO PARDO";10;17;1;28
"354650 SANTA ERNESTINA";1;-;-;1
"354660 SANTA FE DO SUL";6;6;-;12
"354670 SANTA GERTRUDES";2;6;1;9
"354680 SANTA ISABEL";16;20;-;36
"354690 SANTA LUCIA";2;-;-;2
"354700 SANTA MARIA DA SERRA";1;-;-;1
"354710 SANTA MERCEDES";-;1;-;1
"354730 SANTANA DE PARNAIBA";22;30;2;54
"354740 SANTA RITA D'OESTE";-;1;-;1
"354750 SANTA RITA DO PASSA QUATRO";3;4;-;7
"354760 SANTA ROSA DE VITERBO";4;1;-;5
"354765 SANTA SALETE";-;1;-;1
"354770 SANTO ANASTACIO";2;1;-;3
"354780 SANTO ANDRE";193;190;6;389
"354790 SANTO ANTONIO DA ALEGRIA";-;1;-;1
"354800 SANTO ANTONIO DE POSSE";6;2;-;8
"354805 SANTO ANTONIO DO ARACANGUA";-;4;-;4
"354810 SANTO ANTONIO DO JARDIM";3;-;-;3
"354830 SANTO EXPEDITO";2;-;-;2
"354840 SANTOPOLIS DO AGUAPEI";1;-;-;1
"354850 SANTOS";307;349;6;662
"354860 SAO BENTO DO SAPUCAI";3;1;-;4
"354870 SAO BERNARDO DO CAMPO";206;210;3;419
"354880 SAO CAETANO DO SUL";20;13;1;34
"354890 SAO CARLOS";46;54;2;102
"354900 SAO FRANCISCO";-;1;-;1
"354910 SAO JOAO DA BOA VISTA";26;19;-;45
"354940 SAO JOAQUIM DA BARRA";3;7;-;10
"354970 SAO JOSE DO RIO PARDO";5;8;-;13
"354980 SAO JOSE DO RIO PRETO";163;157;8;328
"354990 SAO JOSE DOS CAMPOS";153;150;8;311
"354995 SAO LOURENCO DA SERRA";4;8;1;13
"355000 SAO LUIS DO PARAITINGA";1;3;-;4
"355010 SAO MANUEL";4;10;-;14
"355020 SAO MIGUEL ARCANJO";4;6;-;10
"355030 SAO PAULO";6124;6803;420;13347
"355040 SAO PEDRO";5;6;-;11
"355050 SAO PEDRO DO TURVO";2;3;-;5
"355060 SAO ROQUE";14;12;-;26
"355070 SAO SEBASTIAO";39;80;1;120
"355080 SAO SEBASTIAO DA GRAMA";1;2;-;3
"355090 SAO SIMAO";1;1;-;2
"355100 SAO VICENTE";411;401;11;823
"355110 SARAPUI";1;2;-;3
"355120 SARUTAIA";2;3;-;5
"355140 SERRA AZUL";36;36;-;72
"355150 SERRANA";16;14;-;30
"355160 SERRA NEGRA";1;1;-;2
"355170 SERTAOZINHO";28;26;1;55
"355180 SETE BARRAS";2;2;1;5
"355190 SEVERINIA";2;3;-;5
"355200 SILVEIRAS";1;-;-;1
"355210 SOCORRO";12;3;-;15
"355220 SOROCABA";240;271;5;516
"355230 SUD MENNUCCI";1;-;-;1
"355240 SUMARE";43;65;2;110
"355250 SUZANO";95;106;3;204
"355255 SUZANAPOLIS";-;1;-;1
"355260 TABAPUA";3;2;-;5
"355270 TABATINGA";2;-;-;2
"355280 TABOAO DA SERRA";96;107;3;206
"355290 TACIBA";2;7;1;10
"355300 TAGUAI";1;1;-;2
"355320 TAIUVA";9;12;-;21
"355330 TAMBAU";1;1;-;2
"355340 TANABI";7;7;-;14
"355350 TAPIRAI";-;1;-;1
"355360 TAPIRATIBA";1;1;-;2
"355365 TAQUARAL";1;-;-;1
"355370 TAQUARITINGA";17;6;-;23
"355380 TAQUARITUBA";17;15;-;32
"355385 TAQUARIVAI";1;-;-;1
"355390 TARABAI";3;3;-;6
"355395 TARUMA";2;1;-;3
"355400 TATUI";21;37;5;63
"355410 TAUBATE";89;94;6;189
"355420 TEJUPA";1;-;-;1
"355430 TEODORO SAMPAIO";4;2;-;6
"355440 TERRA ROXA";1;-;-;1
"355450 TIETE";13;3;-;16
"355460 TIMBURI";-;1;-;1
"355470 TORRINHA";1;1;-;2
"355475 TRABIJU";1;-;-;1
"355480 TREMEMBE";88;77;1;166
"355490 TRES FRONTEIRAS";1;-;-;1
"355495 TUIUTI";1;-;-;1
"355500 TUPA";11;11;-;22
"355510 TUPI PAULISTA";33;25;1;59
"355530 TURMALINA";1;-;-;1
"355540 UBATUBA";57;55;3;115
"355550 UBIRAJARA";1;-;-;1
"355560 UCHOA";2;4;-;6
"355580 URANIA";4;1;-;5
"355590 URU";1;-;-;1
"355600 URUPES";-;1;-;1
"355610 VALENTIM GENTIL";1;3;-;4
"355620 VALINHOS";18;15;-;33
"355630 VALPARAISO";36;28;-;64
"355640 VARGEM GRANDE DO SUL";4;7;-;11
"355645 VARGEM GRANDE PAULISTA";13;14;-;27
"355650 VARZEA PAULISTA";34;28;-;62
"355660 VERA CRUZ";1;2;-;3
"355670 VINHEDO";12;17;-;29
"355680 VIRADOURO";3;3;-;6
"355695 VITORIA BRASIL";1;-;-;1
"355700 VOTORANTIM";39;35;3;77
"355710 VOTUPORANGA";12;19;1;32
"355715 ZACARIAS";-;1;-;1
"355720 CHAVANTES";3;1;-;4
"355730 ESTIVA GERBI";-;2;-;2
"Total";17145;18507;787;36439
 Fonte: Ministério da Saúde/SVSA - Sistema de Informação de Agravos de Notificação - Sinan Net 
 Notas:
 
 Excluídos os registros encerrados com mudança de diagnóstico.
 Períodos disponíveis - Correspondem aos anos de diagnóstico dos casos (até 2024).
 Para tabular dados epidemiológicos de um determinado ano selecione na linha a variável de interesse,
		e todos os posteriores até o ano atual (para incluir casos notificados com atraso) e em "Seleções Disponíveis"
		assinale os anos do diagnóstico: - Ex. para tabular o nº de casos diagnosticados em 2007 segundo UF de residência
		selecione: na linha a "UF de residência" na Coluna a variável "Ano do diagnóstico" em Períodos disponíveis 2007
		até o ano atual em Seleções o "Ano do diagnóstico" de 2007.
 Para cálculo da incidência selecione o local de residência e as seguintes categorias da variável "Tipo de entrada":
		caso novo, não sabe e pós óbito.
 A variável "Beneficiário de programa de transferência de renda do governo" não contém dados do Estado de São Paulo (SP).
		Quanto a variável "Terapia antirretroviral durante o tratamento da TB", os dados do estado de SP foram inseridos
		a partir do segundo semestre de 2016.
 Não é possível calcular indicadores relacionados aos contatos de tuberculose.
 Em 2014, foram incluídas as seguintes variáveis no Sinan Net (Tuberculose): populações especiais (população privada de
		liberdade, população em situação de rua, profissional de saúde e imigrante), doenças e agravos associados (uso de drogas
		ilícitas e tabagismo), beneficiário de programa de transferência de renda do governo, terapia antirretroviral durante o
		tratamento para a TB, teste molecular rápido TB (TRM-TB) e teste de sensibilidade; as categorias: pós-óbito na variável
		tipo de entrada; e as categorias: mudança de esquema, falência e abandono primário na variável situação de encerramento.
		Por conta disso, não há informações para essas variáveis em anos anteriores.
 A variável "institucionalizado" foi descontinuada em 2015. Portanto, para análise referente à população privada de
		liberdade após esse período, utilizar a variável "PPL" (população privada de liberdade).
 Para informações detalhadas sobre o Sinan – Tuberculose e sobre as análises de indicadores epidemiológicos e operacionais
		da tuberculose, acessar o link: http://portalsinan.saude.gov.br/tuberculose
 Em caso de dúvidas, encaminhar e-mail para: tuberculose@saude.gov.br
 Dados de 2001 a 2019 estão finalizados.
 Dados de 2019 passaram por correção em setembro/2025.
 Dados de 2020 a 2024 atualizados em setembro/2025, sujeitos à revisão.
 Dados a partir de 2020 referentes ao estado do Espírito Santo são oriundos do Sistema de Informação e-SUS VS, em uso pelo
		estado desde janeiro de 2020.
 Dados referentes ao estado de São Paulo são oriundos do Sistema de Controle de Pacientes com Tuberculose TBWEB.
 Dados disponibilizados no TABNET em 10/2025, após homologação da Coordenação Geral de Vigilância da Tuberculose, Micoses
		Endêmicas e Micobactérias não Tuberculosas /CGTM/SVSA
 
