TUBERCULOSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - São Paulo
Casos confirmados por Município de notificação e Ano Notificação
Fx Etária: 20-39
Sexo: Masculino
Aids: Sim
Confirmação laboratorial: Com confirmação laboratorial
HIV: Positivo
Período:2023-2024
"Município de notificação";"2023";"2024";"2025";"Total"
"351660 GALIA";1;2;-;3
"351840 GUARATINGUETA";-;1;-;1
"351850 GUAREI";-;1;-;1
"351870 GUARUJA";6;6;-;12
"351880 GUARULHOS";12;18;1;31
"351907 HORTOLANDIA";1;2;-;3
"351950 IBIRAREMA";-;1;-;1
"351980 ICEM";1;-;-;1
"352040 ILHABELA";-;-;1;1
"352050 INDAIATUBA";1;1;-;2
"352100 IPERO";2;-;-;2
"352210 ITANHAEM";1;-;-;1
"352220 ITAPECERICA DA SERRA";3;1;-;4
"352230 ITAPETININGA";-;1;-;1
"352250 ITAPEVI";2;7;1;10
"352280 ITAPORANGA";1;-;-;1
"352310 ITAQUAQUECETUBA";2;2;-;4
"352330 ITARIRI";-;-;1;1
"352350 ITATINGA";1;-;-;1
"352360 ITIRAPINA";2;2;-;4
"352400 ITUPEVA";1;1;-;2
"352430 JABOTICABAL";1;1;-;2
"352440 JACAREI";-;1;-;1
"352470 JAGUARIUNA";-;1;-;1
"352480 JALES";1;-;-;1
"352500 JANDIRA";1;2;-;3
"352510 JARDINOPOLIS";2;2;-;4
"352530 JAU";-;1;-;1
"352590 JUNDIAI";1;2;-;3
"352620 JUQUITIBA";1;-;-;1
"352650 LAVINIA";1;-;-;1
"352680 LENCOIS PAULISTA";-;1;-;1
"352690 LIMEIRA";-;2;-;2
"352840 MAIRINQUE";-;1;-;1
"352870 MARABA PAULISTA";1;-;-;1
"352900 MARILIA";1;2;-;3
"352940 MAUA";4;4;-;8
"352980 MINEIROS DO TIETE";1;-;-;1
"353060 MOGI DAS CRUZES";2;4;-;6
"353070 MOGI GUACU";1;-;-;1
"353080 MOGI MIRIM";1;1;-;2
"353110 MONGAGUA";3;1;-;4
"353130 MONTE ALTO";-;2;-;2
"353180 MONTE MOR";-;2;-;2
"353340 NOVA ODESSA";-;1;-;1
"353440 OSASCO";3;7;-;10
"353490 PACAEMBU";2;-;-;2
"353510 PALMARES PAULISTA";1;-;-;1
"353550 PARAGUACU PAULISTA";-;2;-;2
"353730 PENAPOLIS";-;1;-;1
"353760 PERUIBE";4;1;-;5
"353770 PIACATU";-;1;-;1
"353820 PINHALZINHO";-;1;-;1
"353870 PIRACICABA";3;1;1;5
"353950 PITANGUEIRAS";1;-;-;1
"354060 PORTO FELIZ";2;-;-;2
"354070 PORTO FERREIRA";-;1;-;1
"354075 POTIM";1;1;-;2
"354100 PRAIA GRANDE";6;3;-;9
"354110 PRESIDENTE ALVES";1;-;-;1
"354140 PRESIDENTE PRUDENTE";2;-;-;2
"354150 PRESIDENTE VENCESLAU";-;1;-;1
"354250 REGINOPOLIS";1;1;-;2
"354260 REGISTRO";-;1;-;1
"354330 RIBEIRAO PIRES";2;1;-;3
"354340 RIBEIRAO PRETO";5;11;-;16
"354350 RIVERSUL";1;-;-;1
"354390 RIO CLARO";1;-;-;1
"354420 RIOLANDIA";-;1;-;1
"354425 ROSANA";-;1;-;1
"354510 SALMOURAO";1;-;-;1
"354520 SALTO";-;1;-;1
"354580 SANTA BARBARA D'OESTE";1;3;-;4
"354640 SANTA CRUZ DO RIO PARDO";-;1;-;1
"354660 SANTA FE DO SUL";-;1;-;1
"354680 SANTA ISABEL";1;-;-;1
"354730 SANTANA DE PARNAIBA";1;1;-;2
"354780 SANTO ANDRE";3;5;-;8
"354850 SANTOS";7;6;-;13
"354870 SAO BERNARDO DO CAMPO";7;3;-;10
"354890 SAO CARLOS";5;3;-;8
"354940 SAO JOAQUIM DA BARRA";2;-;-;2
"354980 SAO JOSE DO RIO PRETO";2;9;-;11
"354990 SAO JOSE DOS CAMPOS";6;2;-;8
"355030 SAO PAULO";235;268;23;526
"355070 SAO SEBASTIAO";1;4;-;5
"355100 SAO VICENTE";7;10;-;17
"355150 SERRANA";1;-;-;1
"355220 SOROCABA";8;13;-;21
"355240 SUMARE";1;-;-;1
"355250 SUZANO";-;1;-;1
"355280 TABOAO DA SERRA";2;4;-;6
"355320 TAIUVA";-;1;-;1
"355370 TAQUARITINGA";2;-;-;2
"355400 TATUI";1;1;-;2
"355410 TAUBATE";2;2;-;4
"355480 TREMEMBE";-;2;-;2
"355500 TUPA";1;-;-;1
"355510 TUPI PAULISTA";1;-;-;1
"355540 UBATUBA";2;-;-;2
"355560 UCHOA";-;2;-;2
"355700 VOTORANTIM";-;2;-;2
"Total";453;538;34;1025
 Fonte: Ministério da Saúde/SVSA - Sistema de Informação de Agravos de Notificação - Sinan Net 
 Notas:
 
 Excluídos os registros encerrados com mudança de diagnóstico.
 Períodos disponíveis - Correspondem aos anos de diagnóstico dos casos (até 2024).
 Para tabular dados epidemiológicos de um determinado ano selecione na linha a variável de interesse,
		e todos os posteriores até o ano atual (para incluir casos notificados com atraso) e em "Seleções Disponíveis"
		assinale os anos do diagnóstico: - Ex. para tabular o nº de casos diagnosticados em 2007 segundo UF de residência
		selecione: na linha a "UF de residência" na Coluna a variável "Ano do diagnóstico" em Períodos disponíveis 2007
		até o ano atual em Seleções o "Ano do diagnóstico" de 2007.
 Para cálculo da incidência selecione o local de residência e as seguintes categorias da variável "Tipo de entrada":
		caso novo, não sabe e pós óbito.
 A variável "Beneficiário de programa de transferência de renda do governo" não contém dados do Estado de São Paulo (SP).
		Quanto a variável "Terapia antirretroviral durante o tratamento da TB", os dados do estado de SP foram inseridos
		a partir do segundo semestre de 2016.
 Não é possível calcular indicadores relacionados aos contatos de tuberculose.
 Em 2014, foram incluídas as seguintes variáveis no Sinan Net (Tuberculose): populações especiais (população privada de
		liberdade, população em situação de rua, profissional de saúde e imigrante), doenças e agravos associados (uso de drogas
		ilícitas e tabagismo), beneficiário de programa de transferência de renda do governo, terapia antirretroviral durante o
		tratamento para a TB, teste molecular rápido TB (TRM-TB) e teste de sensibilidade; as categorias: pós-óbito na variável
		tipo de entrada; e as categorias: mudança de esquema, falência e abandono primário na variável situação de encerramento.
		Por conta disso, não há informações para essas variáveis em anos anteriores.
 A variável "institucionalizado" foi descontinuada em 2015. Portanto, para análise referente à população privada de
		liberdade após esse período, utilizar a variável "PPL" (população privada de liberdade).
 Para informações detalhadas sobre o Sinan – Tuberculose e sobre as análises de indicadores epidemiológicos e operacionais
		da tuberculose, acessar o link: http://portalsinan.saude.gov.br/tuberculose
 Em caso de dúvidas, encaminhar e-mail para: tuberculose@saude.gov.br
 Dados de 2001 a 2019 estão finalizados.
 Dados de 2019 passaram por correção em setembro/2025.
 Dados de 2020 a 2024 atualizados em setembro/2025, sujeitos à revisão.
 Dados a partir de 2020 referentes ao estado do Espírito Santo são oriundos do Sistema de Informação e-SUS VS, em uso pelo
		estado desde janeiro de 2020.
 Dados referentes ao estado de São Paulo são oriundos do Sistema de Controle de Pacientes com Tuberculose TBWEB.
 Dados disponibilizados no TABNET em 10/2025, após homologação da Coordenação Geral de Vigilância da Tuberculose, Micoses
		Endêmicas e Micobactérias não Tuberculosas /CGTM/SVSA
 
