TUBERCULOSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - São Paulo
Casos confirmados por Município de notificação e Ano Notificação
HIV: Negativo
Período:2023-2024
"Município de notificação";"2023";"2024";"2025";"Total"
"350470 BALBINOS";32;33;2;67
"350480 BALSAMO";2;2;-;4
"350490 BANANAL";9;5;-;14
"350500 BARAO DE ANTONINA";1;1;-;2
"350510 BARBOSA";-;1;-;1
"350520 BARIRI";3;7;-;10
"350530 BARRA BONITA";12;6;-;18
"350535 BARRA DO CHAPEU";2;1;-;3
"350540 BARRA DO TURVO";1;-;-;1
"350550 BARRETOS";35;30;-;65
"350560 BARRINHA";8;11;-;19
"350570 BARUERI";111;153;2;266
"350580 BASTOS";5;11;-;16
"350590 BATATAIS";7;7;1;15
"350600 BAURU";213;213;15;441
"350610 BEBEDOURO";21;8;2;31
"350620 BENTO DE ABREU";2;1;-;3
"350630 BERNARDINO DE CAMPOS";13;11;-;24
"350635 BERTIOGA";72;82;5;159
"350650 BIRIGUI";22;21;2;45
"350660 BIRITIBA-MIRIM";4;12;-;16
"350670 BOA ESPERANCA DO SUL";3;5;-;8
"350680 BOCAINA";1;2;-;3
"350690 BOFETE";1;1;-;2
"350700 BOITUVA";7;12;-;19
"350710 BOM JESUS DOS PERDOES";3;1;-;4
"350715 BOM SUCESSO DE ITARARE";1;-;-;1
"350730 BORACEIA";1;1;-;2
"350740 BORBOREMA";3;5;-;8
"350750 BOTUCATU";43;47;1;91
"350760 BRAGANCA PAULISTA";31;40;-;71
"350770 BRAUNA";1;-;-;1
"350775 BREJO ALEGRE";2;-;-;2
"350780 BRODOWSKI";7;1;-;8
"350790 BROTAS";3;-;-;3
"350800 BURI";8;5;-;13
"350810 BURITAMA";2;10;-;12
"350820 BURITIZAL";-;2;-;2
"350830 CABRALIA PAULISTA";-;2;-;2
"350840 CABREUVA";15;16;1;32
"350850 CACAPAVA";16;21;-;37
"350860 CACHOEIRA PAULISTA";10;20;2;32
"350870 CACONDE";1;2;-;3
"350880 CAFELANDIA";-;2;-;2
"350900 CAIEIRAS";37;35;3;75
"350910 CAIUA";21;15;-;36
"350920 CAJAMAR";21;25;-;46
"350925 CAJATI";12;3;-;15
"350930 CAJOBI";2;1;-;3
"350940 CAJURU";1;2;1;4
"350945 CAMPINA DO MONTE ALEGRE";4;-;-;4
"350950 CAMPINAS";356;378;22;756
"350960 CAMPO LIMPO PAULISTA";17;16;-;33
"350970 CAMPOS DO JORDAO";8;6;-;14
"350980 CAMPOS NOVOS PAULISTA";1;1;-;2
"350990 CANANEIA";8;2;-;10
"351000 CANDIDO MOTA";3;11;-;14
"351015 CANITAR";-;3;-;3
"351020 CAPAO BONITO";10;17;1;28
"351030 CAPELA DO ALTO";20;23;-;43
"351040 CAPIVARI";21;11;-;32
"351050 CARAGUATATUBA";108;134;-;242
"351060 CARAPICUIBA";231;267;18;516
"351070 CARDOSO";4;2;-;6
"351080 CASA BRANCA";8;10;-;18
"351090 CASSIA DOS COQUEIROS";1;1;-;2
"351100 CASTILHO";7;12;-;19
"351110 CATANDUVA";25;29;3;57
"351120 CATIGUA";-;1;-;1
"351130 CEDRAL";2;4;-;6
"351140 CERQUEIRA CESAR";26;21;2;49
"351150 CERQUILHO";6;11;-;17
"351160 CESARIO LANGE";2;3;-;5
"351170 CHARQUEADA";2;4;-;6
"351200 COLINA";1;5;-;6
"351210 COLOMBIA";5;1;-;6
"351220 CONCHAL";4;14;-;18
"351230 CONCHAS";5;3;-;8
"351240 CORDEIROPOLIS";8;7;-;15
"351250 COROADOS";-;2;-;2
"351260 CORONEL MACEDO";1;-;-;1
"351280 COSMOPOLIS";18;19;1;38
"351290 COSMORAMA";1;1;-;2
"351300 COTIA";93;109;3;205
"351310 CRAVINHOS";6;1;-;7
"351330 CRUZALIA";1;1;-;2
"351340 CRUZEIRO";35;30;-;65
"351350 CUBATAO";111;158;2;271
"351360 CUNHA";2;3;-;5
"351370 DESCALVADO";9;9;-;18
"351380 DIADEMA";176;161;3;340
"351390 DIVINOLANDIA";1;1;-;2
"351400 DOBRADA";1;-;-;1
"351430 DOURADO";1;-;-;1
"351440 DRACENA";28;14;2;44
"351450 DUARTINA";2;1;-;3
"351460 DUMONT";1;4;-;5
"351470 ECHAPORA";2;1;-;3
"351480 ELDORADO";5;5;-;10
"351490 ELIAS FAUSTO";6;3;-;9
"351492 ELISIARIO";1;1;-;2
"351500 EMBU DAS ARTES";133;171;7;311
"351510 EMBU-GUACU";26;29;1;56
"351512 EMILIANOPOLIS";1;-;-;1
"351515 ENGENHEIRO COELHO";7;9;-;16
"351518 ESPIRITO SANTO DO PINHAL";22;13;1;36
"351519 ESPIRITO SANTO DO TURVO";2;2;-;4
"351520 ESTRELA D'OESTE";-;2;-;2
"351530 ESTRELA DO NORTE";1;-;-;1
"351540 FARTURA";6;8;-;14
"351550 FERNANDOPOLIS";21;29;-;50
"351560 FERNANDO PRESTES";-;1;-;1
"351570 FERRAZ DE VASCONCELOS";84;95;2;181
"351600 FLORIDA PAULISTA";20;18;1;39
"351610 FLORINIA";25;19;-;44
"351620 FRANCA";75;80;2;157
"351630 FRANCISCO MORATO";88;92;-;180
"351640 FRANCO DA ROCHA";147;185;7;339
"351650 GABRIEL MONTEIRO";-;1;-;1
"351660 GALIA";18;20;1;39
"351670 GARCA";12;21;1;34
"351685 GAVIAO PEIXOTO";4;-;-;4
"351690 GENERAL SALGADO";3;4;-;7
"351700 GETULINA";10;12;-;22
"351710 GLICERIO";-;2;-;2
"351720 GUAICARA";-;5;-;5
"351730 GUAIMBE";1;7;-;8
"351740 GUAIRA";8;8;-;16
"351750 GUAPIACU";10;8;-;18
"351760 GUAPIARA";1;3;-;4
"351770 GUARA";4;12;-;16
"351780 GUARACAI";-;3;-;3
"351790 GUARACI";4;5;-;9
"351810 GUARANTA";1;-;-;1
"351820 GUARARAPES";8;12;-;20
"351830 GUARAREMA";3;12;-;15
"351840 GUARATINGUETA";22;32;1;55
"351850 GUAREI";13;27;-;40
"351860 GUARIBA";6;14;1;21
"351870 GUARUJA";419;410;10;839
"351880 GUARULHOS";517;611;31;1159
"351885 GUATAPARA";1;2;-;3
"351890 GUZOLANDIA";-;1;-;1
"351900 HERCULANDIA";-;1;-;1
"351905 HOLAMBRA";1;1;-;2
"351907 HORTOLANDIA";91;116;2;209
"351910 IACANGA";1;2;-;3
"351925 IARAS";5;7;1;13
"351930 IBATE";1;1;-;2
"351940 IBIRA";3;4;-;7
"351950 IBIRAREMA";2;5;-;7
"351960 IBITINGA";18;15;-;33
"351970 IBIUNA";11;18;2;31
"351980 ICEM";4;5;-;9
"351990 IEPE";8;1;-;9
"352000 IGARACU DO TIETE";11;15;-;26
"352010 IGARAPAVA";5;10;-;15
"352020 IGARATA";4;-;-;4
"352030 IGUAPE";27;29;1;57
"352040 ILHABELA";19;22;-;41
"352042 ILHA COMPRIDA";8;11;-;19
"352044 ILHA SOLTEIRA";7;6;-;13
"352050 INDAIATUBA";72;77;2;151
"352060 INDIANA";1;-;-;1
"352070 INDIAPORA";2;-;-;2
"352090 IPAUSSU";3;3;-;6
"352100 IPERO";40;33;-;73
"352110 IPEUNA";6;2;-;8
"352115 IPIGUA";3;2;-;5
"352120 IPORANGA";3;5;1;9
"352130 IPUA";4;4;-;8
"352140 IRACEMAPOLIS";3;5;-;8
"352150 IRAPUA";2;3;-;5
"352160 IRAPURU";13;16;1;30
"352170 ITABERA";3;5;-;8
"352180 ITAI";26;11;-;37
"352190 ITAJOBI";2;-;-;2
"352210 ITANHAEM";109;103;4;216
"352220 ITAPECERICA DA SERRA";72;84;4;160
"352230 ITAPETININGA";61;83;-;144
"352240 ITAPEVA";19;29;1;49
"352250 ITAPEVI";130;130;4;264
"352260 ITAPIRA";19;20;-;39
"352270 ITAPOLIS";14;5;-;19
"352280 ITAPORANGA";4;3;-;7
"352290 ITAPUI";5;4;-;9
"352300 ITAPURA";1;-;-;1
"352310 ITAQUAQUECETUBA";115;120;1;236
"352320 ITARARE";9;9;-;18
"352330 ITARIRI";5;7;-;12
"352340 ITATIBA";18;15;2;35
"352350 ITATINGA";15;20;-;35
"352360 ITIRAPINA";30;24;1;55
"352380 ITOBI";-;1;-;1
"352390 ITU";68;53;-;121
"352400 ITUPEVA";8;19;-;27
"352410 ITUVERAVA";9;4;-;13
"352420 JABORANDI";-;1;-;1
"352430 JABOTICABAL";26;20;1;47
"352440 JACAREI";58;59;5;122
"352450 JACI";1;-;1;2
"352460 JACUPIRANGA";2;5;-;7
"352470 JAGUARIUNA";12;17;2;31
"352480 JALES";4;4;-;8
"352500 JANDIRA";31;47;-;78
"352510 JARDINOPOLIS";37;35;1;73
"352520 JARINU";6;8;-;14
"352530 JAU";19;27;-;46
"352540 JERIQUARA";-;1;-;1
"352570 JOSE BONIFACIO";8;12;-;20
"352580 JULIO MESQUITA";-;1;1;2
"352590 JUNDIAI";154;110;1;265
"352600 JUNQUEIROPOLIS";37;16;-;53
"352610 JUQUIA";10;15;1;26
"352620 JUQUITIBA";9;14;1;24
"352630 LAGOINHA";-;1;-;1
"352640 LARANJAL PAULISTA";10;18;2;30
"352650 LAVINIA";54;53;-;107
"352670 LEME";32;41;-;73
"352680 LENCOIS PAULISTA";18;27;1;46
"352690 LIMEIRA";96;99;-;195
"352700 LINDOIA";1;2;-;3
"352710 LINS";26;22;-;48
"352720 LORENA";25;28;-;53
"352730 LOUVEIRA";11;7;-;18
"352740 LUCELIA";10;14;-;24
"352780 LUPERCIO";1;1;-;2
"352790 LUTECIA";-;1;-;1
"352800 MACATUBA";-;5;-;5
"352810 MACAUBAL";-;1;-;1
"352820 MACEDONIA";1;1;-;2
"352830 MAGDA";-;1;-;1
"352840 MAIRINQUE";17;39;-;56
"352850 MAIRIPORA";23;25;-;48
"352860 MANDURI";1;3;1;5
"352870 MARABA PAULISTA";7;11;-;18
"352880 MARACAI";1;2;-;3
"352900 MARILIA";70;110;3;183
"352920 MARTINOPOLIS";8;2;1;11
"352930 MATAO";7;7;-;14
"352940 MAUA";196;187;6;389
"352950 MENDONCA";2;2;-;4
"352970 MIGUELOPOLIS";6;3;-;9
"352980 MINEIROS DO TIETE";2;1;-;3
"352990 MIRACATU";7;11;-;18
"353010 MIRANDOPOLIS";60;52;1;113
"353020 MIRANTE DO PARANAPANEMA";2;1;-;3
"353030 MIRASSOL";13;12;-;25
"353040 MIRASSOLANDIA";2;-;-;2
"353050 MOCOCA";16;23;-;39
"353060 MOGI DAS CRUZES";144;162;6;312
"353070 MOGI GUACU";31;35;1;67
"353080 MOGI MIRIM";15;15;-;30
"353090 MOMBUCA";2;1;-;3
"353100 MONCOES";3;-;-;3
"353110 MONGAGUA";94;73;3;170
"353130 MONTE ALTO";8;8;1;17
"353140 MONTE APRAZIVEL";3;5;-;8
"353150 MONTE AZUL PAULISTA";5;1;-;6
"353160 MONTE CASTELO";2;1;-;3
"353180 MONTE MOR";10;16;-;26
"353190 MORRO AGUDO";10;18;2;30
"353200 MORUNGABA";3;1;-;4
"353205 MOTUCA";1;-;-;1
"353215 NANTES";-;2;-;2
"353220 NARANDIBA";-;2;-;2
"353230 NATIVIDADE DA SERRA";2;-;-;2
"353240 NAZARE PAULISTA";3;9;-;12
"353250 NEVES PAULISTA";2;2;-;4
"353260 NHANDEARA";3;4;-;7
"353280 NOVA ALIANCA";2;1;-;3
"353282 NOVA CAMPINA";1;1;-;2
"353300 NOVA GRANADA";2;4;-;6
"353320 NOVA INDEPENDENCIA";12;14;-;26
"353325 NOVAIS";1;1;-;2
"353330 NOVA LUZITANIA";1;-;-;1
"353340 NOVA ODESSA";8;10;-;18
"353350 NOVO HORIZONTE";9;5;-;14
"353370 OCAUCU";-;2;-;2
"353390 OLIMPIA";9;9;-;18
"353400 ONDA VERDE";1;2;-;3
"353410 ORIENTE";3;-;-;3
"353420 ORINDIUVA";-;2;-;2
"353430 ORLANDIA";4;5;-;9
"353440 OSASCO";242;254;7;503
"353460 OSVALDO CRUZ";7;13;-;20
"353470 OURINHOS";19;42;1;62
"353475 OUROESTE";3;4;-;7
"353480 OURO VERDE";1;-;-;1
"353490 PACAEMBU";42;62;-;104
"353500 PALESTINA";2;-;-;2
"353510 PALMARES PAULISTA";1;-;-;1
"353520 PALMEIRA D'OESTE";1;1;-;2
"353530 PALMITAL";5;14;-;19
"353540 PANORAMA";5;4;-;9
"353550 PARAGUACU PAULISTA";7;14;-;21
"353560 PARAIBUNA";3;1;-;4
"353580 PARANAPANEMA";3;2;-;5
"353590 PARANAPUA";2;-;-;2
"353600 PARAPUA";3;3;-;6
"353610 PARDINHO";1;2;-;3
"353620 PARIQUERA-ACU";12;10;-;22
"353625 PARISI";1;1;-;2
"353640 PAULICEIA";3;3;1;7
"353650 PAULINIA";43;40;3;86
"353660 PAULO DE FARIA";1;7;-;8
"353670 PEDERNEIRAS";5;12;-;17
"353680 PEDRA BELA";1;2;-;3
"353690 PEDRANOPOLIS";1;-;-;1
"353700 PEDREGULHO";1;-;-;1
"353710 PEDREIRA";13;7;-;20
"353720 PEDRO DE TOLEDO";4;9;-;13
"353730 PENAPOLIS";7;15;-;22
"353740 PEREIRA BARRETO";5;7;-;12
"353750 PEREIRAS";1;2;-;3
"353760 PERUIBE";100;56;-;156
"353780 PIEDADE";7;6;1;14
"353790 PILAR DO SUL";9;9;-;18
"353800 PINDAMONHANGABA";51;46;10;107
"353810 PINDORAMA";1;1;-;2
"353820 PINHALZINHO";2;1;-;3
"353830 PIQUEROBI";-;1;-;1
"353860 PIRACAIA";4;3;-;7
"353870 PIRACICABA";156;171;2;329
"353880 PIRAJU";4;9;-;13
"353890 PIRAJUI";33;40;-;73
"353900 PIRANGI";2;2;-;4
"353910 PIRAPORA DO BOM JESUS";11;20;1;32
"353920 PIRAPOZINHO";6;7;-;13
"353930 PIRASSUNUNGA";16;20;-;36
"353940 PIRATININGA";2;1;-;3
"353950 PITANGUEIRAS";7;10;1;18
"353960 PLANALTO";-;1;-;1
"353970 PLATINA";3;1;-;4
"353980 POA";49;46;-;95
"354000 POMPEIA";2;2;-;4
"354010 PONGAI";3;-;-;3
"354020 PONTAL";22;21;-;43
"354025 PONTALINDA";2;2;-;4
"354030 PONTES GESTAL";1;-;-;1
"354050 PORANGABA";2;2;-;4
"354060 PORTO FELIZ";26;37;-;63
"354070 PORTO FERREIRA";9;6;-;15
"354075 POTIM";33;20;2;55
"354080 POTIRENDABA";1;1;-;2
"354085 PRACINHA";7;10;-;17
"354090 PRADOPOLIS";1;2;-;3
"354100 PRAIA GRANDE";337;368;12;717
"354105 PRATANIA";-;1;-;1
"354110 PRESIDENTE ALVES";-;2;-;2
"354120 PRESIDENTE BERNARDES";26;33;-;59
"354130 PRESIDENTE EPITACIO";16;9;-;25
"354140 PRESIDENTE PRUDENTE";84;75;-;159
"354150 PRESIDENTE VENCESLAU";8;12;-;20
"354160 PROMISSAO";2;6;-;8
"354165 QUADRA";1;-;-;1
"354170 QUATA";1;1;-;2
"354190 QUELUZ";-;3;-;3
"354200 QUINTANA";4;2;-;6
"354210 RAFARD";3;2;-;5
"354220 RANCHARIA";12;7;-;19
"354230 REDENCAO DA SERRA";-;1;-;1
"354240 REGENTE FEIJO";4;1;-;5
"354250 REGINOPOLIS";23;21;-;44
"354260 REGISTRO";64;74;4;142
"354280 RIBEIRA";-;2;-;2
"354290 RIBEIRAO BONITO";2;2;-;4
"354300 RIBEIRAO BRANCO";5;5;-;10
"354320 RIBEIRAO DO SUL";1;-;-;1
"354323 RIBEIRAO DOS INDIOS";1;-;-;1
"354330 RIBEIRAO PIRES";22;29;-;51
"354340 RIBEIRAO PRETO";241;259;13;513
"354350 RIVERSUL";2;6;1;9
"354370 RINCAO";3;-;-;3
"354380 RINOPOLIS";4;1;-;5
"354390 RIO CLARO";57;60;2;119
"354400 RIO DAS PEDRAS";7;11;-;18
"354410 RIO GRANDE DA SERRA";1;2;-;3
"354420 RIOLANDIA";12;21;-;33
"354425 ROSANA";6;3;-;9
"354430 ROSEIRA";1;-;-;1
"354450 RUBINEIA";2;-;-;2
"354470 SAGRES";2;-;-;2
"354490 SALES OLIVEIRA";2;-;-;2
"354500 SALESOPOLIS";3;2;-;5
"354510 SALMOURAO";-;1;-;1
"354515 SALTINHO";1;-;-;1
"354520 SALTO";35;41;1;77
"354530 SALTO DE PIRAPORA";18;13;-;31
"354540 SALTO GRANDE";7;9;-;16
"354550 SANDOVALINA";-;1;-;1
"354560 SANTA ADELIA";1;3;-;4
"354570 SANTA ALBERTINA";2;-;-;2
"354580 SANTA BARBARA D'OESTE";40;32;-;72
"354600 SANTA BRANCA";2;7;-;9
"354610 SANTA CLARA D'OESTE";-;1;-;1
"354620 SANTA CRUZ DA CONCEICAO";1;-;-;1
"354630 SANTA CRUZ DAS PALMEIRAS";1;5;-;6
"354640 SANTA CRUZ DO RIO PARDO";17;19;1;37
"354650 SANTA ERNESTINA";1;-;-;1
"354660 SANTA FE DO SUL";6;7;-;13
"354670 SANTA GERTRUDES";4;7;1;12
"354680 SANTA ISABEL";24;29;-;53
"354690 SANTA LUCIA";2;-;-;2
"354700 SANTA MARIA DA SERRA";1;-;-;1
"354710 SANTA MERCEDES";-;1;-;1
"354730 SANTANA DE PARNAIBA";33;50;2;85
"354740 SANTA RITA D'OESTE";2;1;-;3
"354750 SANTA RITA DO PASSA QUATRO";2;3;-;5
"354760 SANTA ROSA DE VITERBO";4;1;-;5
"354765 SANTA SALETE";-;1;-;1
"354770 SANTO ANASTACIO";4;2;-;6
"354780 SANTO ANDRE";233;216;6;455
"354790 SANTO ANTONIO DA ALEGRIA";-;1;-;1
"354800 SANTO ANTONIO DE POSSE";5;1;-;6
"354805 SANTO ANTONIO DO ARACANGUA";-;4;-;4
"354810 SANTO ANTONIO DO JARDIM";2;-;-;2
"354830 SANTO EXPEDITO";2;-;-;2
"354840 SANTOPOLIS DO AGUAPEI";1;-;-;1
"354850 SANTOS";378;404;11;793
"354860 SAO BENTO DO SAPUCAI";4;1;-;5
"354870 SAO BERNARDO DO CAMPO";251;266;4;521
"354880 SAO CAETANO DO SUL";35;21;2;58
"354890 SAO CARLOS";49;69;2;120
"354900 SAO FRANCISCO";-;1;-;1
"354910 SAO JOAO DA BOA VISTA";18;21;-;39
"354925 SAO JOAO DE IRACEMA";1;-;-;1
"354940 SAO JOAQUIM DA BARRA";1;9;-;10
"354960 SAO JOSE DO BARREIRO";-;1;-;1
"354970 SAO JOSE DO RIO PARDO";7;13;-;20
"354980 SAO JOSE DO RIO PRETO";174;175;8;357
"354990 SAO JOSE DOS CAMPOS";177;174;8;359
"354995 SAO LOURENCO DA SERRA";5;9;1;15
"355000 SAO LUIS DO PARAITINGA";-;5;-;5
"355010 SAO MANUEL";10;12;-;22
"355020 SAO MIGUEL ARCANJO";8;9;-;17
"355030 SAO PAULO";7215;7736;392;15343
"355040 SAO PEDRO";7;10;-;17
"355050 SAO PEDRO DO TURVO";2;5;-;7
"355060 SAO ROQUE";20;17;-;37
"355070 SAO SEBASTIAO";48;75;1;124
"355080 SAO SEBASTIAO DA GRAMA";1;4;-;5
"355090 SAO SIMAO";1;-;-;1
"355100 SAO VICENTE";467;368;12;847
"355110 SARAPUI";-;1;-;1
"355120 SARUTAIA";2;1;-;3
"355140 SERRA AZUL";26;21;-;47
"355150 SERRANA";16;17;1;34
"355160 SERRA NEGRA";1;2;-;3
"355170 SERTAOZINHO";32;31;1;64
"355180 SETE BARRAS";-;4;1;5
"355190 SEVERINIA";1;3;-;4
"355200 SILVEIRAS";1;-;-;1
"355210 SOCORRO";13;3;-;16
"355220 SOROCABA";254;264;2;520
"355230 SUD MENNUCCI";1;-;-;1
"355240 SUMARE";60;88;1;149
"355250 SUZANO";131;142;4;277
"355255 SUZANAPOLIS";-;1;-;1
"355260 TABAPUA";1;2;-;3
"355270 TABATINGA";-;1;-;1
"355280 TABOAO DA SERRA";117;139;4;260
"355290 TACIBA";2;6;1;9
"355300 TAGUAI";1;1;-;2
"355310 TAIACU";-;1;-;1
"355320 TAIUVA";9;9;-;18
"355330 TAMBAU";2;3;-;5
"355340 TANABI";7;9;-;16
"355350 TAPIRAI";1;2;-;3
"355360 TAPIRATIBA";1;1;-;2
"355365 TAQUARAL";1;-;-;1
"355370 TAQUARITINGA";15;8;-;23
"355380 TAQUARITUBA";19;16;-;35
"355385 TAQUARIVAI";1;-;-;1
"355390 TARABAI";3;4;-;7
"355395 TARUMA";1;3;-;4
"355400 TATUI";23;37;4;64
"355410 TAUBATE";107;121;4;232
"355420 TEJUPA";2;-;-;2
"355430 TEODORO SAMPAIO";5;2;-;7
"355440 TERRA ROXA";1;-;-;1
"355450 TIETE";11;2;-;13
"355460 TIMBURI";-;2;-;2
"355470 TORRINHA";2;-;-;2
"355480 TREMEMBE";96;71;2;169
"355490 TRES FRONTEIRAS";2;-;-;2
"355495 TUIUTI";2;-;-;2
"355500 TUPA";11;16;-;27
"355510 TUPI PAULISTA";34;27;1;62
"355530 TURMALINA";1;-;-;1
"355540 UBATUBA";72;72;3;147
"355550 UBIRAJARA";1;-;-;1
"355560 UCHOA";2;3;-;5
"355580 URANIA";4;1;-;5
"355600 URUPES";-;1;-;1
"355610 VALENTIM GENTIL";1;3;-;4
"355620 VALINHOS";14;17;-;31
"355630 VALPARAISO";36;27;-;63
"355635 VARGEM";2;1;-;3
"355640 VARGEM GRANDE DO SUL";4;5;-;9
"355645 VARGEM GRANDE PAULISTA";18;28;1;47
"355650 VARZEA PAULISTA";33;34;-;67
"355660 VERA CRUZ";1;4;-;5
"355670 VINHEDO";8;20;1;29
"355680 VIRADOURO";5;3;-;8
"355695 VITORIA BRASIL";1;-;-;1
"355700 VOTORANTIM";38;50;3;91
"355710 VOTUPORANGA";14;32;1;47
"355720 CHAVANTES";3;2;-;5
"355730 ESTIVA GERBI";-;3;-;3
"Total";19733;21012;784;41529
 Fonte: Ministério da Saúde/SVSA - Sistema de Informação de Agravos de Notificação - Sinan Net 
 Notas:
 
 Excluídos os registros encerrados com mudança de diagnóstico.
 Períodos disponíveis - Correspondem aos anos de diagnóstico dos casos (até 2024).
 Para tabular dados epidemiológicos de um determinado ano selecione na linha a variável de interesse,
		e todos os posteriores até o ano atual (para incluir casos notificados com atraso) e em "Seleções Disponíveis"
		assinale os anos do diagnóstico: - Ex. para tabular o nº de casos diagnosticados em 2007 segundo UF de residência
		selecione: na linha a "UF de residência" na Coluna a variável "Ano do diagnóstico" em Períodos disponíveis 2007
		até o ano atual em Seleções o "Ano do diagnóstico" de 2007.
 Para cálculo da incidência selecione o local de residência e as seguintes categorias da variável "Tipo de entrada":
		caso novo, não sabe e pós óbito.
 A variável "Beneficiário de programa de transferência de renda do governo" não contém dados do Estado de São Paulo (SP).
		Quanto a variável "Terapia antirretroviral durante o tratamento da TB", os dados do estado de SP foram inseridos
		a partir do segundo semestre de 2016.
 Não é possível calcular indicadores relacionados aos contatos de tuberculose.
 Em 2014, foram incluídas as seguintes variáveis no Sinan Net (Tuberculose): populações especiais (população privada de
		liberdade, população em situação de rua, profissional de saúde e imigrante), doenças e agravos associados (uso de drogas
		ilícitas e tabagismo), beneficiário de programa de transferência de renda do governo, terapia antirretroviral durante o
		tratamento para a TB, teste molecular rápido TB (TRM-TB) e teste de sensibilidade; as categorias: pós-óbito na variável
		tipo de entrada; e as categorias: mudança de esquema, falência e abandono primário na variável situação de encerramento.
		Por conta disso, não há informações para essas variáveis em anos anteriores.
 A variável "institucionalizado" foi descontinuada em 2015. Portanto, para análise referente à população privada de
		liberdade após esse período, utilizar a variável "PPL" (população privada de liberdade).
 Para informações detalhadas sobre o Sinan – Tuberculose e sobre as análises de indicadores epidemiológicos e operacionais
		da tuberculose, acessar o link: http://portalsinan.saude.gov.br/tuberculose
 Em caso de dúvidas, encaminhar e-mail para: tuberculose@saude.gov.br
 Dados de 2001 a 2019 estão finalizados.
 Dados de 2019 passaram por correção em setembro/2025.
 Dados de 2020 a 2024 atualizados em setembro/2025, sujeitos à revisão.
 Dados a partir de 2020 referentes ao estado do Espírito Santo são oriundos do Sistema de Informação e-SUS VS, em uso pelo
		estado desde janeiro de 2020.
 Dados referentes ao estado de São Paulo são oriundos do Sistema de Controle de Pacientes com Tuberculose TBWEB.
 Dados disponibilizados no TABNET em 10/2025, após homologação da Coordenação Geral de Vigilância da Tuberculose, Micoses
		Endêmicas e Micobactérias não Tuberculosas /CGTM/SVSA
 
