TUBERCULOSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - São Paulo
Casos confirmados por Município de notificação e Ano Notificação
Fx Etária: 20-39
Período:2023-2024
"Município de notificação";"2023";"2024";"2025";"Total"
"351340 CRUZEIRO";12;10;-;22
"351350 CUBATAO";66;79;1;146
"351360 CUNHA";-;2;-;2
"351370 DESCALVADO";4;4;-;8
"351380 DIADEMA";126;100;2;228
"351440 DRACENA";15;5;-;20
"351460 DUMONT";-;1;-;1
"351480 ELDORADO";5;-;-;5
"351490 ELIAS FAUSTO";-;2;-;2
"351500 EMBU DAS ARTES";67;79;4;150
"351510 EMBU-GUACU";10;16;1;27
"351515 ENGENHEIRO COELHO";3;4;-;7
"351518 ESPIRITO SANTO DO PINHAL";9;10;-;19
"351519 ESPIRITO SANTO DO TURVO";1;-;-;1
"351540 FARTURA";4;4;-;8
"351550 FERNANDOPOLIS";9;14;-;23
"351570 FERRAZ DE VASCONCELOS";51;49;1;101
"351600 FLORIDA PAULISTA";18;15;-;33
"351610 FLORINIA";17;18;-;35
"351620 FRANCA";50;49;1;100
"351630 FRANCISCO MORATO";51;38;1;90
"351640 FRANCO DA ROCHA";112;136;1;249
"351660 GALIA";15;15;1;31
"351670 GARCA";4;5;1;10
"351685 GAVIAO PEIXOTO";3;-;-;3
"351690 GENERAL SALGADO";2;1;-;3
"351700 GETULINA";6;10;-;16
"351710 GLICERIO";-;1;-;1
"351720 GUAICARA";-;2;-;2
"351730 GUAIMBE";-;1;-;1
"351740 GUAIRA";5;6;1;12
"351750 GUAPIACU";3;2;-;5
"351760 GUAPIARA";1;1;-;2
"351770 GUARA";3;7;-;10
"351790 GUARACI";2;1;-;3
"351820 GUARARAPES";5;4;-;9
"351830 GUARAREMA";3;8;-;11
"351840 GUARATINGUETA";9;13;1;23
"351850 GUAREI";14;18;-;32
"351860 GUARIBA";5;12;1;18
"351870 GUARUJA";208;215;4;427
"351880 GUARULHOS";297;366;21;684
"351885 GUATAPARA";-;2;-;2
"351900 HERCULANDIA";-;1;-;1
"351907 HORTOLANDIA";60;75;1;136
"351925 IARAS";4;1;1;6
"351930 IBATE";1;1;-;2
"351940 IBIRA";2;1;-;3
"351950 IBIRAREMA";-;3;-;3
"351960 IBITINGA";9;7;-;16
"351970 IBIUNA";9;11;2;22
"351980 ICEM";4;5;-;9
"352000 IGARACU DO TIETE";5;5;-;10
"352010 IGARAPAVA";1;3;-;4
"352020 IGARATA";3;-;-;3
"352030 IGUAPE";14;8;1;23
"352040 ILHABELA";9;14;1;24
"352042 ILHA COMPRIDA";7;4;-;11
"352044 ILHA SOLTEIRA";3;1;-;4
"352050 INDAIATUBA";31;34;1;66
"352090 IPAUSSU";1;1;-;2
"352100 IPERO";30;19;-;49
"352110 IPEUNA";2;2;-;4
"352115 IPIGUA";2;1;-;3
"352120 IPORANGA";2;2;1;5
"352130 IPUA";3;2;-;5
"352140 IRACEMAPOLIS";2;3;-;5
"352150 IRAPUA";1;2;-;3
"352160 IRAPURU";9;13;1;23
"352170 ITABERA";1;2;-;3
"352180 ITAI";11;9;-;20
"352190 ITAJOBI";1;-;-;1
"352210 ITANHAEM";53;44;2;99
"352220 ITAPECERICA DA SERRA";40;47;3;90
"352230 ITAPETININGA";43;48;-;91
"352240 ITAPEVA";7;11;1;19
"352250 ITAPEVI";68;83;5;156
"352260 ITAPIRA";7;10;-;17
"352270 ITAPOLIS";5;2;-;7
"352280 ITAPORANGA";3;1;-;4
"352290 ITAPUI";3;3;-;6
"352310 ITAQUAQUECETUBA";58;66;-;124
"352320 ITARARE";2;4;-;6
"352330 ITARIRI";2;5;1;8
"352340 ITATIBA";7;8;1;16
"352350 ITATINGA";10;19;-;29
"352360 ITIRAPINA";26;21;1;48
"352370 ITIRAPUA";1;1;-;2
"352380 ITOBI";-;2;-;2
"352390 ITU";25;18;-;43
"352400 ITUPEVA";5;15;-;20
"352410 ITUVERAVA";7;4;-;11
"352430 JABOTICABAL";11;11;-;22
"352440 JACAREI";29;38;1;68
"352450 JACI";1;-;-;1
"352460 JACUPIRANGA";2;1;-;3
"352470 JAGUARIUNA";10;7;1;18
"352480 JALES";3;2;-;5
"352500 JANDIRA";24;29;-;53
"352510 JARDINOPOLIS";23;21;1;45
"352520 JARINU";2;2;-;4
"352530 JAU";16;21;-;37
"352570 JOSE BONIFACIO";3;1;-;4
"352580 JULIO MESQUITA";-;-;1;1
"352590 JUNDIAI";74;60;1;135
"352600 JUNQUEIROPOLIS";28;9;-;37
"352610 JUQUIA";4;6;-;10
"352620 JUQUITIBA";5;7;1;13
"352640 LARANJAL PAULISTA";4;9;2;15
"352650 LAVINIA";43;50;-;93
"352670 LEME";9;16;-;25
"352680 LENCOIS PAULISTA";7;10;1;18
"352690 LIMEIRA";46;54;-;100
"352700 LINDOIA";-;2;-;2
"352710 LINS";10;7;-;17
"352720 LORENA";17;12;-;29
"352730 LOUVEIRA";4;1;-;5
"352740 LUCELIA";5;4;-;9
"352780 LUPERCIO";1;2;-;3
"352790 LUTECIA";-;1;-;1
"352800 MACATUBA";-;3;-;3
"352820 MACEDONIA";-;1;-;1
"352840 MAIRINQUE";11;21;-;32
"352850 MAIRIPORA";10;19;-;29
"352860 MANDURI";2;3;-;5
"352870 MARABA PAULISTA";7;10;1;18
"352900 MARILIA";29;60;2;91
"352920 MARTINOPOLIS";7;2;1;10
"352930 MATAO";2;1;-;3
"352940 MAUA";108;102;2;212
"352950 MENDONCA";1;2;-;3
"352970 MIGUELOPOLIS";1;2;-;3
"352980 MINEIROS DO TIETE";2;-;-;2
"352990 MIRACATU";3;8;-;11
"353010 MIRANDOPOLIS";51;44;1;96
"353030 MIRASSOL";5;2;-;7
"353040 MIRASSOLANDIA";1;-;-;1
"353050 MOCOCA";6;13;-;19
"353060 MOGI DAS CRUZES";95;97;5;197
"353070 MOGI GUACU";24;19;-;43
"353080 MOGI MIRIM";2;6;-;8
"353090 MOMBUCA";2;1;-;3
"353100 MONCOES";2;-;-;2
"353110 MONGAGUA";85;55;4;144
"353130 MONTE ALTO";1;3;-;4
"353140 MONTE APRAZIVEL";1;-;-;1
"353150 MONTE AZUL PAULISTA";-;2;-;2
"353160 MONTE CASTELO";1;-;-;1
"353180 MONTE MOR";7;8;-;15
"353190 MORRO AGUDO";6;11;2;19
"353215 NANTES";-;1;-;1
"353230 NATIVIDADE DA SERRA";1;-;-;1
"353240 NAZARE PAULISTA";4;5;-;9
"353250 NEVES PAULISTA";-;2;-;2
"353260 NHANDEARA";1;1;-;2
"353280 NOVA ALIANCA";-;1;-;1
"353282 NOVA CAMPINA";1;-;-;1
"353290 NOVA EUROPA";1;1;-;2
"353300 NOVA GRANADA";-;1;-;1
"353320 NOVA INDEPENDENCIA";8;11;-;19
"353325 NOVAIS";1;-;-;1
"353340 NOVA ODESSA";4;6;-;10
"353350 NOVO HORIZONTE";4;1;-;5
"353370 OCAUCU";-;1;-;1
"353390 OLIMPIA";2;2;-;4
"353400 ONDA VERDE";-;1;-;1
"353410 ORIENTE";-;1;-;1
"353430 ORLANDIA";4;8;1;13
"353440 OSASCO";153;149;7;309
"353460 OSVALDO CRUZ";5;12;-;17
"353470 OURINHOS";15;18;1;34
"353490 PACAEMBU";38;45;-;83
"353510 PALMARES PAULISTA";1;-;-;1
"353530 PALMITAL";3;6;-;9
"353540 PANORAMA";-;4;-;4
"353550 PARAGUACU PAULISTA";4;8;-;12
"353560 PARAIBUNA";3;1;-;4
"353580 PARANAPANEMA";1;2;-;3
"353600 PARAPUA";3;-;-;3
"353620 PARIQUERA-ACU";8;3;-;11
"353640 PAULICEIA";-;2;-;2
"353650 PAULINIA";17;12;-;29
"353660 PAULO DE FARIA";2;5;-;7
"353670 PEDERNEIRAS";3;7;-;10
"353680 PEDRA BELA";-;1;-;1
"353690 PEDRANOPOLIS";1;-;-;1
"353700 PEDREGULHO";2;-;-;2
"353710 PEDREIRA";3;2;-;5
"353720 PEDRO DE TOLEDO";4;3;-;7
"353730 PENAPOLIS";3;8;-;11
"353740 PEREIRA BARRETO";-;2;-;2
"353760 PERUIBE";47;24;-;71
"353770 PIACATU";-;1;-;1
"353780 PIEDADE";4;3;-;7
"353790 PILAR DO SUL";8;4;-;12
"353800 PINDAMONHANGABA";24;26;3;53
"353820 PINHALZINHO";2;1;-;3
"353850 PIQUETE";1;-;-;1
"353860 PIRACAIA";3;2;-;5
"353870 PIRACICABA";88;78;2;168
"353880 PIRAJU";1;2;-;3
"353890 PIRAJUI";26;34;-;60
"353900 PIRANGI";1;-;-;1
"353910 PIRAPORA DO BOM JESUS";6;9;1;16
"353920 PIRAPOZINHO";2;2;-;4
"353930 PIRASSUNUNGA";6;9;-;15
"353940 PIRATININGA";1;-;-;1
"353950 PITANGUEIRAS";8;6;1;15
"353970 PLATINA";-;1;-;1
"353980 POA";26;22;-;48
"354000 POMPEIA";1;-;-;1
"354010 PONGAI";2;-;-;2
"354020 PONTAL";12;14;-;26
"354025 PONTALINDA";1;2;-;3
"354050 PORANGABA";1;-;-;1
"354060 PORTO FELIZ";18;25;-;43
"354070 PORTO FERREIRA";5;2;-;7
"354075 POTIM";33;25;1;59
"354085 PRACINHA";7;10;-;17
"354090 PRADOPOLIS";-;2;-;2
"354100 PRAIA GRANDE";200;209;7;416
"354105 PRATANIA";-;1;-;1
"354110 PRESIDENTE ALVES";1;-;-;1
"354120 PRESIDENTE BERNARDES";21;28;-;49
"354130 PRESIDENTE EPITACIO";8;4;-;12
"354140 PRESIDENTE PRUDENTE";47;35;-;82
"354150 PRESIDENTE VENCESLAU";6;7;-;13
"354160 PROMISSAO";2;3;-;5
"354165 QUADRA";1;-;-;1
"354170 QUATA";1;-;-;1
"354190 QUELUZ";4;1;-;5
"354200 QUINTANA";2;-;-;2
"354210 RAFARD";1;-;-;1
"354220 RANCHARIA";3;5;-;8
"354240 REGENTE FEIJO";1;-;-;1
"354250 REGINOPOLIS";24;22;-;46
"354260 REGISTRO";44;40;2;86
"354290 RIBEIRAO BONITO";1;2;-;3
"354300 RIBEIRAO BRANCO";4;2;-;6
"354320 RIBEIRAO DO SUL";1;-;-;1
"354325 RIBEIRAO GRANDE";-;1;-;1
"354330 RIBEIRAO PIRES";11;11;-;22
"354340 RIBEIRAO PRETO";133;130;9;272
"354350 RIVERSUL";3;1;-;4
"354380 RINOPOLIS";1;1;-;2
"354390 RIO CLARO";28;24;1;53
"354400 RIO DAS PEDRAS";5;4;-;9
"354410 RIO GRANDE DA SERRA";6;1;-;7
"354420 RIOLANDIA";14;18;-;32
"354425 ROSANA";2;1;-;3
"354430 ROSEIRA";-;1;-;1
"354450 RUBINEIA";1;-;-;1
"354460 SABINO";-;1;-;1
"354500 SALESOPOLIS";2;1;-;3
"354510 SALMOURAO";1;-;-;1
"354520 SALTO";19;20;1;40
"354530 SALTO DE PIRAPORA";3;5;-;8
"354540 SALTO GRANDE";1;4;-;5
"354580 SANTA BARBARA D'OESTE";19;19;-;38
"354600 SANTA BRANCA";1;3;-;4
"354610 SANTA CLARA D'OESTE";1;-;-;1
"354630 SANTA CRUZ DAS PALMEIRAS";2;4;-;6
"354640 SANTA CRUZ DO RIO PARDO";8;7;-;15
"354660 SANTA FE DO SUL";1;3;-;4
"354670 SANTA GERTRUDES";2;3;-;5
"354680 SANTA ISABEL";11;14;-;25
"354730 SANTANA DE PARNAIBA";17;21;-;38
"354740 SANTA RITA D'OESTE";-;1;-;1
"354750 SANTA RITA DO PASSA QUATRO";3;1;-;4
"354770 SANTO ANASTACIO";-;2;-;2
"354780 SANTO ANDRE";117;113;4;234
"354790 SANTO ANTONIO DA ALEGRIA";-;1;-;1
"354800 SANTO ANTONIO DE POSSE";3;-;-;3
"354805 SANTO ANTONIO DO ARACANGUA";-;1;-;1
"354810 SANTO ANTONIO DO JARDIM";1;-;-;1
"354840 SANTOPOLIS DO AGUAPEI";1;-;-;1
"354850 SANTOS";226;182;5;413
"354860 SAO BENTO DO SAPUCAI";2;-;-;2
"354870 SAO BERNARDO DO CAMPO";124;142;2;268
"354880 SAO CAETANO DO SUL";17;8;-;25
"354890 SAO CARLOS";30;37;1;68
"354910 SAO JOAO DA BOA VISTA";12;8;-;20
"354940 SAO JOAQUIM DA BARRA";4;4;-;8
"354960 SAO JOSE DO BARREIRO";-;1;-;1
"354970 SAO JOSE DO RIO PARDO";2;12;-;14
"354980 SAO JOSE DO RIO PRETO";92;95;2;189
"354990 SAO JOSE DOS CAMPOS";106;86;3;195
"354995 SAO LOURENCO DA SERRA";3;-;-;3
"355000 SAO LUIS DO PARAITINGA";-;1;-;1
"355010 SAO MANUEL";4;8;-;12
"355020 SAO MIGUEL ARCANJO";4;3;-;7
"355030 SAO PAULO";4062;4446;314;8822
"355040 SAO PEDRO";-;4;-;4
"355050 SAO PEDRO DO TURVO";1;2;-;3
"355060 SAO ROQUE";12;8;-;20
"355070 SAO SEBASTIAO";25;39;-;64
"355080 SAO SEBASTIAO DA GRAMA";-;1;-;1
"355090 SAO SIMAO";-;1;-;1
"355100 SAO VICENTE";287;288;9;584
"355110 SARAPUI";-;2;-;2
"355120 SARUTAIA";1;1;-;2
"355140 SERRA AZUL";27;30;-;57
"355150 SERRANA";7;6;1;14
"355160 SERRA NEGRA";1;1;-;2
"355170 SERTAOZINHO";10;16;-;26
"355180 SETE BARRAS";2;2;-;4
"355190 SEVERINIA";1;1;-;2
"355200 SILVEIRAS";1;-;-;1
"355210 SOCORRO";3;3;-;6
"355220 SOROCABA";144;156;2;302
"355240 SUMARE";31;39;2;72
"355250 SUZANO";68;64;2;134
"355260 TABAPUA";-;1;-;1
"355270 TABATINGA";1;-;-;1
"355280 TABOAO DA SERRA";56;81;4;141
"355290 TACIBA";1;1;-;2
"355300 TAGUAI";1;-;-;1
"355310 TAIACU";-;1;-;1
"355320 TAIUVA";7;9;-;16
"355330 TAMBAU";-;3;-;3
"355340 TANABI";2;3;-;5
"355350 TAPIRAI";1;1;-;2
"355360 TAPIRATIBA";-;2;-;2
"355370 TAQUARITINGA";10;5;-;15
"355380 TAQUARITUBA";15;7;-;22
"355385 TAQUARIVAI";1;-;-;1
"355390 TARABAI";-;2;-;2
"355395 TARUMA";-;1;-;1
"355400 TATUI";13;24;3;40
"355410 TAUBATE";48;49;3;100
"355430 TEODORO SAMPAIO";1;-;-;1
"355450 TIETE";6;-;-;6
"355475 TRABIJU";1;-;-;1
"355480 TREMEMBE";67;53;1;121
"355490 TRES FRONTEIRAS";2;-;-;2
"355495 TUIUTI";1;-;-;1
"355500 TUPA";6;5;-;11
"355510 TUPI PAULISTA";18;17;-;35
"355540 UBATUBA";39;41;2;82
"355560 UCHOA";-;3;-;3
"355580 URANIA";2;-;-;2
"355600 URUPES";-;1;-;1
"355610 VALENTIM GENTIL";1;1;-;2
"355620 VALINHOS";9;5;-;14
"355630 VALPARAISO";27;15;-;42
"355635 VARGEM";1;-;-;1
"355640 VARGEM GRANDE DO SUL";2;4;-;6
"355645 VARGEM GRANDE PAULISTA";10;9;-;19
"355650 VARZEA PAULISTA";24;20;-;44
"355660 VERA CRUZ";-;2;-;2
"355670 VINHEDO";5;8;-;13
"355680 VIRADOURO";2;1;-;3
"355700 VOTORANTIM";27;28;2;57
"355710 VOTUPORANGA";5;16;-;21
"355720 CHAVANTES";1;-;-;1
"Total";11164;11774;558;23496
 Fonte: Ministério da Saúde/SVSA - Sistema de Informação de Agravos de Notificação - Sinan Net 
 Notas:
 
 Excluídos os registros encerrados com mudança de diagnóstico.
 Períodos disponíveis - Correspondem aos anos de diagnóstico dos casos (até 2024).
 Para tabular dados epidemiológicos de um determinado ano selecione na linha a variável de interesse,
		e todos os posteriores até o ano atual (para incluir casos notificados com atraso) e em "Seleções Disponíveis"
		assinale os anos do diagnóstico: - Ex. para tabular o nº de casos diagnosticados em 2007 segundo UF de residência
		selecione: na linha a "UF de residência" na Coluna a variável "Ano do diagnóstico" em Períodos disponíveis 2007
		até o ano atual em Seleções o "Ano do diagnóstico" de 2007.
 Para cálculo da incidência selecione o local de residência e as seguintes categorias da variável "Tipo de entrada":
		caso novo, não sabe e pós óbito.
 A variável "Beneficiário de programa de transferência de renda do governo" não contém dados do Estado de São Paulo (SP).
		Quanto a variável "Terapia antirretroviral durante o tratamento da TB", os dados do estado de SP foram inseridos
		a partir do segundo semestre de 2016.
 Não é possível calcular indicadores relacionados aos contatos de tuberculose.
 Em 2014, foram incluídas as seguintes variáveis no Sinan Net (Tuberculose): populações especiais (população privada de
		liberdade, população em situação de rua, profissional de saúde e imigrante), doenças e agravos associados (uso de drogas
		ilícitas e tabagismo), beneficiário de programa de transferência de renda do governo, terapia antirretroviral durante o
		tratamento para a TB, teste molecular rápido TB (TRM-TB) e teste de sensibilidade; as categorias: pós-óbito na variável
		tipo de entrada; e as categorias: mudança de esquema, falência e abandono primário na variável situação de encerramento.
		Por conta disso, não há informações para essas variáveis em anos anteriores.
 A variável "institucionalizado" foi descontinuada em 2015. Portanto, para análise referente à população privada de
		liberdade após esse período, utilizar a variável "PPL" (população privada de liberdade).
 Para informações detalhadas sobre o Sinan – Tuberculose e sobre as análises de indicadores epidemiológicos e operacionais
		da tuberculose, acessar o link: http://portalsinan.saude.gov.br/tuberculose
 Em caso de dúvidas, encaminhar e-mail para: tuberculose@saude.gov.br
 Dados de 2001 a 2019 estão finalizados.
 Dados de 2019 passaram por correção em setembro/2025.
 Dados de 2020 a 2024 atualizados em setembro/2025, sujeitos à revisão.
 Dados a partir de 2020 referentes ao estado do Espírito Santo são oriundos do Sistema de Informação e-SUS VS, em uso pelo
		estado desde janeiro de 2020.
 Dados referentes ao estado de São Paulo são oriundos do Sistema de Controle de Pacientes com Tuberculose TBWEB.
 Dados disponibilizados no TABNET em 10/2025, após homologação da Coordenação Geral de Vigilância da Tuberculose, Micoses
		Endêmicas e Micobactérias não Tuberculosas /CGTM/SVSA
 
